brickid,brickname,objid,type,ra,dec,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
42801,3150m607,2200,SER,314.848228737484,-60.66764493567462,996.1192,2113.488,2898.712,3669.2253,12.648215,6.3070254,2.104515,1.0805179
42801,3150m607,2339,SER,314.8554311159941,-60.65726601337487,219.31342,371.20825,443.70908,521.2735,114.68413,63.37593,24.93654,12.834889
42801,3150m607,2347,SER,314.8561303036402,-60.65727389846232,10.216526,12.981777,7.184038,4.19495,383.5815,287.6453,146.03752,67.54982
137284,3194m360,479,SER,319.3412543017657,-35.90018661520372,875.0122,1328.0916,1568.008,0.0,8.546768,4.1092525,1.8139911,0.0
137284,3194m360,5234,DUP,319.3413486550888,-35.90026721640999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137284,3194m360,721,EXP,319.3564591742659,-35.91839249826796,4.855061,0.0,3.7991848,0.0,142.2445,0.0,60.88508,0.0
137284,3194m360,705,EXP,319.3556826032616,-35.91792837255518,119.17895,0.0,169.40407,0.0,32.628544,0.0,19.079157,0.0
137284,3194m360,700,EXP,319.355388467299,-35.91754214993831,3.7924805,0.0,2.8813493,0.0,231.73755,0.0,110.02494,0.0
137284,3194m360,606,SER,319.3490355048008,-35.92205518085926,10.696301,4671.887,14.738776,0.0,96.416916,0.0012369565,33.842453,0.0
137284,3194m360,613,REX,319.3494413525481,-35.92204608091316,105.66909,0.0,155.93915,0.0,38.541874,0.0,19.218332,0.0
137284,3194m360,801,SER,319.3614926524389,-35.92601140014751,157.44913,599.2981,206.9483,0.0,24.063488,0.0010154714,15.391785,0.0
75411,3196m507,2195,SER,319.5107844473522,-50.76681690602447,258.72375,381.9827,461.1206,482.7265,23.157848,6.2410197,2.4014463,1.115718
75411,3196m507,10894,DUP,319.5438594395214,-50.75701221930069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75411,3196m507,3145,SER,319.5438776593925,-50.75700155647904,339.20392,772.31274,1111.8086,1410.6086,32.403255,7.8013706,4.0212326,1.5953588
75411,3196m507,2027,EXP,319.5039013814435,-50.73901616342833,3.0386493,2.9137192,3.1252313,2.309198,1207.8746,401.85785,139.35167,78.35174
75411,3196m507,2064,SER,319.5052541550052,-50.73937955580364,84.6964,136.77307,181.14308,200.14873,144.871,39.158783,12.810495,7.9322186
75411,3196m507,2056,EXP,319.5047156216713,-50.73997155525918,1.4903338,1.3664262,1.3845539,0.4802229,1345.6985,472.66693,182.46826,105.01476
75411,3196m507,2076,EXP,319.5057312561864,-50.74024681979888,1.2032789,1.152476,1.1631814,0.74942416,1482.7948,494.5763,182.66254,101.89289
40032,3277m617,10985,DUP,327.6956792617502,-61.76406275227215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40032,3277m617,5166,SER,327.6957327224617,-61.764038659071,830.28986,1849.4639,2683.3618,3421.4436,16.068218,9.403521,8.8706,1.0702971
40032,3277m617,5247,SER,327.6992817943159,-61.73029127171835,35.598164,47.898808,52.197964,55.69636,196.9355,144.1122,88.381096,10.377525
40032,3277m617,5252,REX,327.699453372697,-61.72941428399157,0.33589473,0.3361276,0.46812955,0.57488465,1995.713,1462.0562,973.837,111.68185
40032,3277m617,5298,EXP,327.7011667947535,-61.73069309826707,0.57330114,0.55151385,0.5556737,0.53176,1534.9683,1109.6233,652.0877,72.900795
