Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv,e_mag_g,e_mag_r,e_mag_i,e_mag_z,FUV_corrected,NUV_corrected
158,3,0.08677,216.5487054032538,29.71449333721601,1.364376934860136,1.414033278938314,21.0916,0.9712,21.0702,1.0707,0.0,0.0,21.0278,1.2684,0.0796,0.0052,0.0714,0.0044,0.0,0.0,0.1617,0.0109,18.21678654068201,17.585343289840065,,17.09791740480955,0.016970709,0.003543956867447733,0.005118563470892844,Infinity,0.0057093480883256475,20.024057809780412,19.833676221021122
158,2,0.05853,216.5451448858078,29.74552186279333,0.28940921155796673,0.1739389032047569,16.0137,0.8479,16.0509,0.9501,0.0,0.0,16.1247,1.153,0.081,0.0068,0.0639,0.0049,0.0,0.0,0.1368,0.012,18.16048420446915,17.57958188162292,,17.183164942292183,0.017025635,0.005844746464158501,0.005774245958056485,Infinity,0.007384686330404286,19.988022462903878,19.539118544381655
159,2,0.054808,219.221051338999,12.13901051400059,1.0914498437111586,1.1371803378646952,16.9631,1.5653,17.0516,1.6248,17.1361,1.6816,17.2276,1.743,0.0442,0.005,0.0262,0.0028,0.0374,0.0038,0.0654,0.0069,17.187927306786992,16.477567797892643,16.162560799160907,15.954580081597125,0.027816731,0.0017983022099407869,0.0014380450171312211,0.0025447121318550227,0.0020906255326186393,20.22205990442894,19.64114340664721
159,1,0.054808,219.2209261720926,12.16126139104753,0.5481028168457982,0.5798185264011515,32.6258,2.3576,36.1443,2.9634,39.5014,3.5415,43.1355,4.1673,0.0831,0.005,0.0584,0.0033,0.1007,0.0051,0.1689,0.0085,16.092280331664902,15.176370237189282,14.77932743216718,14.507079386082578,0.026866361,0.0011413062636726314,7.772217674283489E-4,0.0013881540828625514,9.278939387969154E-4,19.395298659758893,19.258920901784176
159,3,0.055027,219.2428588429306,12.16787348845842,,0.34156342677180085,25.8339,0.8907,25.8049,1.2764,25.7772,1.6445,25.7472,2.0429,0.0188,0.0013,0.0134,9.0E-4,0.0206,0.0015,0.0338,0.0025,,,,,0.026437096,Infinity,Infinity,Infinity,Infinity,19.434947714865228,
159,4,0.188742,219.2652855248565,12.17632928967613,1.6704187501357204,1.7145994227144925,1.1865,,1.9294,,2.6382,,3.4055,,0.0254,,0.029,,0.0563,,0.0896,,18.568035125056433,17.88147252508742,17.325708281935945,17.440845665365853,0.025694022,0.002190534388529961,0.0017765781826746378,0.0026340639445380986,0.002135843812250172,19.48464612866881,19.45514045003839
160,3,0.030822,219.7153122101575,9.046957064626492,0.20376137134947925,0.20973674789400754,6.3725,1.9063,6.0887,1.8237,5.8179,1.7448,5.5247,1.6594,0.0078,0.0042,0.0053,0.0026,0.0055,0.0025,0.0083,0.0041,17.135368192860962,16.50694622508507,16.235596369740648,16.03001627134467,0.036673956,8.962618994931493E-4,8.438801682955752E-4,7.884795664680107E-4,9.8887319700179E-4,19.051559191335233,18.670371020780344
160,1,0.030605,219.6912603223076,9.04091980277455,-0.41635442458516536,-0.37790652350914655,5.8455,4.0641,6.6603,3.9393,7.4377,3.8201,8.2793,3.6912,0.0386,0.0308,0.0303,0.0202,0.0499,0.0223,0.0808,0.0355,18.128433870928188,17.621358181414248,17.44297907407645,17.302546520243677,0.036624976,0.0018544708584520857,0.002313657175800351,0.0022745504520458853,0.0032714013603451324,20.167718871279835,20.16057287157534
160,2,0.030822,219.6972295133376,9.03095727003908,0.37672925244093136,0.4142767658281059,5.5472,,3.7181,,1.9728,,,9.006,0.026,,0.0173,,0.0092,,,0.2409,20.980087528135677,21.076641172821123,20.913579689143702,21.113591224241443,0.036746163,0.014239869433639791,0.028745987562835314,0.03192483091940257,0.060791818100948726,19.408327507326145,19.120614780963912
160,4,0.086179,219.7307285148444,9.055148947980484,1.3352419157824862,1.3298874975594952,10.9904,0.8044,10.9386,0.8917,10.8892,0.9749,10.8357,1.065,0.0097,0.0018,0.0075,0.001,0.0112,0.0017,0.0178,0.003,17.125093331258647,16.75360793342558,16.43483888642049,16.452919529710147,0.036391232,0.0010298489933269195,0.001211601661886414,0.0012795123419453627,0.001979343866188042,19.23125521542362,18.360084884962177
