Group,Gal,zmemb,ra,dec,logSFR_NUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z,ebv
40,1,0.0665,30.9478588830863,-31.16082085071439,0.3508628716884772,12.0249,0.4039,12.0586,0.4513,12.0907,0.4966,12.1254,0.5456,0.0073,0.0014,0.0052,0.0008,0.0074,0.0012,0.0121,0.0022,17.952105,17.298689,17.001814,16.779049,0.022319773
40,2,0.0665,30.95856931662525,-31.14696311824521,0.6462228716884759,10.1025,0.7328,10.2225,0.7903,10.337,0.8452,10.4609,0.9047,0.0086,0.0025,0.0052,0.0015,0.0073,0.0019,0.0127,0.0033,17.82233,17.55031,17.472832,17.379469,0.022556743
40,3,0.0289,30.96466705372731,-31.14377393611345,0.4698952665953655,13.7588,3.8465,12.39,3.6282,11.0841,3.4199,9.6704,3.1945,0.043,0.0116,0.0265,0.0072,0.022,0.0067,0.0346,0.0109,16.379147,16.048225,15.939064,15.816108,0.022625748
43,2,0.060465,36.2089162292208,-27.28800563203144,0.38042769549973343,11.419,0.5541,10.9518,0.6593,10.5061,0.7597,10.0236,0.8684,0.0058,0.0012,0.0036,0.0007,0.0047,0.0009,0.008,0.0017,17.493546,16.960829,16.74528,16.594202,0.013799462
43,1,0.060526,36.20420687265285,-27.2753540644782,0.13310352810350246,13.5067,0.6856,13.3426,0.7178,13.1861,0.7485,13.0166,0.7818,0.0186,0.0022,0.0132,0.0013,0.0206,0.0023,0.0338,0.004,18.195684,17.82043,17.679014,17.597715,0.013722445
43,4,0.2141,36.23801027176443,-27.29013761456291,1.3796929156711446,15.9934,0.492,15.8966,0.6539,15.8044,0.8084,15.7044,0.9756,0.0109,0.001,0.0085,0.0006,0.0134,0.0012,0.0214,0.0021,18.310064,17.81107,17.360723,17.33785,0.014397512
43,3,0.060465,36.23039555650625,-27.2663842386504,0.21606769549973137,9.5663,3.9081,11.3772,4.5676,13.105,5.1969,14.9753,5.8781,0.0584,0.0198,0.0428,0.0128,0.0752,0.0175,0.1251,0.0294,17.4682,16.858816,16.59652,16.397816,0.01437738
45,4,0.01016,40.47213910499156,-20.81537556564252,-1.4429530030219322,12.6372,2.2182,13.4792,2.095,14.2826,1.9774,15.1522,1.8502,0.0059,0.001,0.004,0.0007,0.0042,0.0005,0.0063,0.0007,17.538313,17.149338,16.949741,16.909422,0.028978743
45,1,0.01016,40.44927762952605,-20.79883391234892,-0.3771530030219292,60.4371,1.0373,59.3466,1.1265,58.3062,1.2117,57.1799,1.3038,0.0535,0.0011,0.036,0.0007,0.0422,0.0008,0.0669,0.0014,15.775217,15.297591,15.075487,14.994417,0.028452681
45,2,0.025821,40.45548347271463,-20.81498328999302,0.6091656964529122,38.4525,2.4608,38.0174,2.3254,37.6023,2.1961,37.1529,2.0562,0.0434,0.0025,0.0294,0.0016,0.028,0.0014,0.0411,0.002,15.171292,14.717767,14.518274,14.478156,0.028673038
45,3,0.01016,40.46024699097511,-20.81220742929486,-0.46227300302193264,29.1625,1.3374,29.8608,1.3,30.5271,1.2644,31.2483,1.2259,0.0784,0.0038,0.0532,0.0024,0.0602,0.0025,0.0941,0.0041,15.932407,15.510652,15.303941,15.249916,0.028742889
47,2,0.069815,43.45328850894474,-41.96649072958697,0.06731706579436647,14.7746,0.3857,14.9171,0.4442,15.0531,0.5001,15.2003,0.5605,0.0198,0.0021,0.0168,0.0014,0.0247,0.0024,0.0381,0.0042,18.99751,18.729507,18.63019,18.572147,0.014057335
47,3,0.069815,43.45430953410411,-41.95596963694773,0.30403706579436474,9.2386,0.5126,9.2759,0.5939,9.3115,0.6715,9.3501,0.7556,0.0182,0.0038,0.0146,0.0023,0.0223,0.0041,0.0353,0.0072,18.54724,18.252237,18.133776,18.056486,0.013942841
47,4,0.069815,43.46510686074172,-41.97949312861047,0.5256770657943655,9.7277,0.5217,9.7946,0.5695,9.8584,0.615,9.9274,0.6643,0.0077,0.0018,0.0049,0.001,0.0063,0.0013,0.0105,0.0023,17.137476,16.57885,16.33707,16.16463,0.014092954
47,1,0.069815,43.43166948705896,-41.97722464626543,0.1522370657943668,12.3535,0.6736,12.7015,0.8016,13.0336,0.9237,13.3931,1.0558,0.0057,0.0009,0.0036,0.0006,0.0054,0.0008,0.0092,0.0014,18.093798,17.589176,17.292862,17.164995,0.013843811
