Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,ebv,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,Group_2,Gal_2,zmemb
52,2,3891,50.09687788879909,-40.2083288182827,SER,1.44685142224972,695.8848,0.0013,478.9531,0.0012,10.1076,0.0220,16.8948,0.0014,2.9480,0.0069,0.8659,0.0006,38.1731,0.1506,695.8848,0.0013,478.9531,0.0012,10.0754,0.0133,16.1971,8.0E-4,2.9594,0.0040,0.8659,0.0006,38.1731,0.1506,695.8848,0.0013,478.9531,0.0012,10.0448,0.0158,15.8663,0.001,2.9703,0.0043,0.8659,0.0006,38.1731,0.1506,695.8848,0.0013,478.9531,0.0012,10.0116,0.0271,15.6399,0.0017,2.9820,0.0075,0.8659,0.0006,38.1731,0.1506,117131,0501m402,3891,0.016478062,16.87946,16.176083,15.847699,15.63033,15.732464,15.949157,13.568861,12.109694,52,2,0.0
52,1,3032,50.07005825693662,-40.17808928771583,PSF,1.44685142224972,976.7259,0.0032,894.6768,0.003,2.3017,0.0090,20.088,0.0029,0.6179,0.0228,0.9166,0.0024,87.2158,1.1704,976.7259,0.0032,894.6768,0.003,2.2209,0.0053,19.1455,0.0017,0.6216,0.0127,0.9166,0.0024,87.2158,1.1704,976.7259,0.0032,894.6768,0.003,2.1439,0.0033,18.2747,0.0012,0.6251,0.0078,0.9166,0.0024,87.2158,1.1704,976.7259,0.0032,894.6768,0.003,2.0605,0.0055,17.8217,0.0017,0.6288,0.0147,0.9166,0.0024,87.2158,1.1704,117131,0501m402,3032,0.016462434,20.08729,19.154768,18.285114,17.847546,18.440779,19.052416,,,52,1,0.0
52,4,4863,50.12638129450011,-40.20079277915492,REX,1.44685142224972,385.7642,0.0193,582.8292,0.0197,13.1680,0.3541,19.4256,0.0178,2.5671,0.0629,0.9567,0.0077,-46.4609,6.6742,385.7642,0.0193,582.8292,0.0197,13.1076,0.2040,19.0603,0.0108,2.6937,0.0356,0.9567,0.0077,-46.4609,6.6742,385.7642,0.0193,582.8292,0.0197,13.0500,0.3398,18.8933,0.0173,2.8145,0.0601,0.9567,0.0077,-46.4609,6.6742,385.7642,0.0193,582.8292,0.0197,12.9876,0.6038,18.8043,0.0313,2.9453,0.1075,0.9567,0.0077,-46.4609,6.6742,117131,0501m402,4863,0.017005531,19.441418,19.066523,18.90014,18.8019,19.457865,20.064249,16.753166,,52,4,0.0
54,1,11713,52.93920447662241,-39.61423111947493,REX,0.429453829010701,845.8465,0.0046,804.783,0.0047,7.2215,0.0124,18.3315,0.0018,0.6630,0.0036,0.9829,0.0009,-26.6912,2.4106,845.8465,0.0046,804.783,0.0047,7.3642,0.0077,17.8411,0.001,0.7201,0.0021,0.9829,0.0009,-26.6912,2.4106,845.8465,0.0046,804.783,0.0047,7.5004,0.0096,17.5591,0.0012,0.7745,0.0025,0.9829,0.0009,-26.6912,2.4106,845.8465,0.0046,804.783,0.0047,7.6478,0.0162,17.4228,0.0021,0.8334,0.0044,0.9829,0.0009,-26.6912,2.4106,120459,0528m395,11713,0.016788945,18.27935,17.799269,17.521955,17.419886,17.739744,18.208067,16.170149,14.166007,54,1,0.0
54,2,2328,52.94671752743711,-39.6313705245943,SER,0.429453829010701,766.4842,0.0026,569.2544,0.0037,11.6224,0.0095,17.5937,9.0E-4,0.7134,0.0016,0.6846,0.0003,14.2613,0.0527,766.4842,0.0026,569.2544,0.0037,11.4708,0.0059,16.9498,5.0E-4,0.8371,0.0010,0.6846,0.0003,14.2613,0.0527,766.4842,0.0026,569.2544,0.0037,11.3263,0.0075,16.6202,6.0E-4,0.9552,0.0013,0.6846,0.0003,14.2613,0.0527,766.4842,0.0026,569.2544,0.0037,11.1698,0.0125,16.4508,0.001,1.0830,0.0022,0.6846,0.0003,14.2613,0.0527,119349,0530m397,2328,0.016637748,17.607847,16.956852,16.610266,16.43036,16.654697,17.042782,15.085602,15.054997,54,2,0.10668
54,3,2618,52.95790597526705,-39.63148912885078,SER,0.429453829010701,648.136,0.0032,567.6287,0.003,7.8107,0.0187,18.8734,0.0019,1.2892,0.0064,0.3595,0.0004,-46.4464,0.0426,648.136,0.0032,567.6287,0.003,7.9251,0.0113,18.2163,0.0011,1.3524,0.0038,0.3595,0.0004,-46.4464,0.0426,648.136,0.0032,567.6287,0.003,8.0343,0.0137,17.8333,0.0013,1.4128,0.0043,0.3595,0.0004,-46.4464,0.0426,648.136,0.0032,567.6287,0.003,8.1526,0.0234,17.6442,0.0022,1.4781,0.0073,0.3595,0.0004,-46.4464,0.0426,119349,0530m397,2618,0.016806008,18.870413,18.23847,17.857872,17.689585,17.641027,17.988756,15.73403,15.466325,54,3,0.0
55,2,8260,53.26270992841383,-47.67381086448842,REX,0.551988136230193,700.3045,0.007,547.0179,0.0066,12.7095,0.0143,17.7354,0.0013,0.5138,0.0019,0.9449,0.0007,65.2476,0.5808,700.3045,0.007,547.0179,0.0066,12.4351,0.0091,17.0471,8.0E-4,0.6053,0.0011,0.9449,0.0007,65.2476,0.5808,700.3045,0.007,547.0179,0.0066,12.1733,0.0116,16.717,0.001,0.6927,0.0015,0.9449,0.0007,65.2476,0.5808,700.3045,0.007,547.0179,0.0066,11.8899,0.0193,16.5553,0.0017,0.7872,0.0027,0.9449,0.0007,65.2476,0.5808,86033,0531m477,8260,0.014096289,17.671408,16.96209,16.623236,16.435822,16.72351,17.142431,15.835383,14.122403,55,2,0.0
55,4,8599,53.27460303614701,-47.65381446480341,SER,0.551988136230193,590.2397,0.0048,822.0083,0.0046,1.3838,0.0179,19.82,0.0058,4.1750,0.1641,0.6520,0.0068,26.0551,0.7076,590.2397,0.0048,822.0083,0.0046,1.8475,0.0133,19.367,0.0042,4.5563,0.1019,0.6520,0.0068,26.0551,0.7076,590.2397,0.0048,822.0083,0.0046,2.2898,0.0280,19.1033,0.007,4.9201,0.1320,0.6520,0.0068,26.0551,0.7076,590.2397,0.0048,822.0083,0.0046,2.7687,0.0475,18.9573,0.0097,5.3139,0.2240,0.6520,0.0068,26.0551,0.7076,86033,0531m477,8599,0.014271567,19.791916,19.425077,19.227224,19.22364,19.514679,19.632006,18.488607,16.413912,55,4,0.0
55,3,8367,53.26621212288526,-47.66102872075055,SER,0.551988136230193,667.8858,0.002,722.7148,0.0029,13.6452,0.0110,17.084,7.0E-4,0.9186,0.0018,0.4605,0.0002,-34.2766,0.0223,667.8858,0.002,722.7148,0.0029,13.3496,0.0066,16.3285,4.0E-4,1.0837,0.0011,0.4605,0.0002,-34.2766,0.0223,667.8858,0.002,722.7148,0.0029,13.0676,0.0088,15.9865,6.0E-4,1.2413,0.0015,0.4605,0.0002,-34.2766,0.0223,667.8858,0.002,722.7148,0.0029,12.7624,0.0153,15.7379,9.0E-4,1.4118,0.0025,0.4605,0.0002,-34.2766,0.0223,86033,0531m477,8367,0.014189268,17.09697,16.329676,15.974196,15.743986,15.822361,16.26767,14.50028,13.746101,55,3,0.0
55,1,8017,53.2536851230029,-47.66581926330934,REX,0.551988136230193,783.6252,0.0116,657.1605,0.0124,10.5608,0.0457,18.6758,0.0038,0.9885,0.0075,0.9020,0.0022,15.7587,0.986,783.6252,0.0116,657.1605,0.0124,10.0996,0.0328,18.3505,0.003,1.2330,0.0057,0.9020,0.0022,15.7587,0.986,783.6252,0.0116,657.1605,0.0124,9.6594,0.0559,18.2355,0.005,1.4664,0.0107,0.9020,0.0022,15.7587,0.986,783.6252,0.0116,657.1605,0.0124,9.1830,0.0931,18.2052,0.0087,1.7189,0.0179,0.9020,0.0022,15.7587,0.986,86033,0531m477,8017,0.014104508,18.929653,18.546354,18.382093,18.288252,19.067497,19.67182,,14.72372,55,1,0.0
56,3,10501,53.44363247558491,-30.33458516543448,SER,0.556190973280058,651.9733,0.0034,417.1921,0.0025,21.3159,0.0258,16.9623,0.001,1.1995,0.0020,0.5307,0.0002,-53.8153,0.0297,651.9733,0.0034,417.1921,0.0025,20.1588,0.0167,16.3106,6.0E-4,1.4843,0.0013,0.5307,0.0002,-53.8153,0.0297,651.9733,0.0034,417.1921,0.0025,19.0546,0.0273,15.9901,0.001,1.7560,0.0024,0.5307,0.0002,-53.8153,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164182,0533m302,10501,0.014927684,17.020576,16.335377,15.985091,15.758918,15.923354,16.35686,14.64345,14.136445,56,3,0.1064
56,2,10337,53.43844343605756,-30.3025939673689,SER,0.556190973280058,713.4595,0.003,856.7115,0.004,7.5608,0.0129,18.6755,0.0015,0.9351,0.0040,0.6823,0.0008,30.3662,0.1124,713.4595,0.003,856.7115,0.004,7.4569,0.0089,18.1885,0.001,1.0462,0.0027,0.6823,0.0008,30.3662,0.1124,713.4595,0.003,856.7115,0.004,7.3578,0.0152,17.9341,0.0017,1.1523,0.0047,0.6823,0.0008,30.3662,0.1124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164182,0533m302,10337,0.01512724,18.699484,18.21503,17.95373,17.855827,18.264282,18.558987,17.475004,,56,2,0.1061
56,4,10561,53.44537476493722,-30.30588441877911,SER,0.556190973280058,631.2318,0.0015,811.469,0.0016,6.4736,0.0274,18.0832,0.0024,3.8050,0.0194,0.7544,0.0008,4.7567,0.1229,631.2318,0.0015,811.469,0.0016,6.5348,0.0149,17.2794,0.0012,3.9740,0.0097,0.7544,0.0008,4.7567,0.1229,631.2318,0.0015,811.469,0.0016,6.5931,0.0234,16.8339,0.0019,4.1353,0.0153,0.7544,0.0008,4.7567,0.1229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164182,0533m302,10561,0.01508493,18.119978,17.32826,16.883736,16.705626,15.912089,15.647626,14.68996,12.769016,56,4,0.0
56,1,10222,53.43533681994836,-30.31760628997305,SER,0.556190973280058,750.1791,9.0E-4,650.8336,0.0016,10.5565,0.0072,17.1767,5.0E-4,0.9381,0.0017,0.4811,0.0001,-31.4557,0.0188,750.1791,9.0E-4,650.8336,0.0016,9.7433,0.0045,16.4299,3.0E-4,1.3097,0.0011,0.4811,0.0001,-31.4557,0.0188,750.1791,9.0E-4,650.8336,0.0016,8.9675,0.0068,16.0058,4.0E-4,1.6643,0.0020,0.4811,0.0001,-31.4557,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164182,0533m302,10222,0.015213116,17.2316,16.461126,16.006569,15.789189,15.042479,14.994829,13.067019,12.020145,56,1,0.130297
57,3,11548,53.81342234282801,-33.46747452729964,SER,0.573493664273331,607.0788,0.0049,810.9194,0.0027,5.1177,0.0113,19.3162,0.0011,0.6731,0.0093,0.2863,0.0010,-77.5779,0.0633,607.0788,0.0049,810.9194,0.0027,5.0920,0.0065,19.0936,0.0013,0.8538,0.0046,0.2863,0.0010,-77.5779,0.0633,607.0788,0.0049,810.9194,0.0027,5.0675,0.0107,19.0697,0.0017,1.0262,0.0075,0.2863,0.0010,-77.5779,0.0633,607.0788,0.0049,810.9194,0.0027,5.0409,0.0189,19.0225,0.0033,1.2128,0.0142,0.2863,0.0010,-77.5779,0.0633,148269,0536m335,11548,0.011078953,19.222479,19.08897,19.070267,19.026978,19.967262,20.23239,,15.010907,57,3,0.0
57,4,918,53.83981037850533,-33.47548093163716,SER,0.573493664273331,304.6524,0.0079,700.9166,0.008,17.0035,0.0205,18.5685,0.001,0.6877,0.0031,0.2008,0.0003,44.3465,0.021,304.6524,0.0079,700.9166,0.008,16.7896,0.0159,18.2499,0.0012,0.7406,0.0015,0.2008,0.0003,44.3465,0.021,304.6524,0.0079,700.9166,0.008,16.5854,0.0263,18.1541,0.0015,0.7912,0.0027,0.2008,0.0003,44.3465,0.021,304.6524,0.0079,700.9166,0.008,16.3645,0.0428,18.1092,0.0029,0.8459,0.0051,0.2008,0.0003,44.3465,0.021,148270,0539m335,918,0.010967741,18.522182,18.249798,18.145256,18.086384,18.905905,19.515188,,,57,4,0.0
57,2,10669,53.79127051032987,-33.48001083482608,SER,0.573493664273331,861.2044,0.0016,638.6529,0.0011,6.6504,0.0058,17.6823,6.0E-4,1.2188,0.0033,0.5177,0.0003,67.4634,0.0303,861.2044,0.0016,638.6529,0.0011,6.6341,0.0033,17.1094,4.0E-4,1.3930,0.0019,0.5177,0.0003,67.4634,0.0303,861.2044,0.0016,638.6529,0.0011,6.6185,0.0046,16.9168,4.0E-4,1.5593,0.0022,0.5177,0.0003,67.4634,0.0303,861.2044,0.0016,638.6529,0.0011,6.6016,0.0082,16.7755,9.0E-4,1.7392,0.0040,0.5177,0.0003,67.4634,0.0303,148269,0536m335,10669,0.011000828,17.575638,17.121586,16.935966,16.792624,17.187681,17.677477,15.773101,,57,2,0.0
57,1,10288,53.78163719604368,-33.48228186041139,REX,0.573493664273331,972.6648,0.064,615.6056,0.1287,42.3653,0.1402,19.2273,0.0072,0.0999,0.0045,0.4215,0.0016,-24.1127,0.1559,972.6648,0.064,615.6056,0.1287,40.7077,0.2980,19.7308,0.0222,0.3256,0.0147,0.4215,0.0016,-24.1127,0.1559,972.6648,0.064,615.6056,0.1287,39.1261,0.5606,19.4864,0.0239,0.5410,0.0286,0.4215,0.0016,-24.1127,0.1559,972.6648,0.064,615.6056,0.1287,37.4141,0.8566,20.6512,0.1842,0.7741,0.0439,0.4215,0.0016,-24.1127,0.1559,148269,0536m335,10288,0.011011025,22.702595,21.776405,21.47552,21.368694,,,18.224014,14.632123,57,1,0.0
58,3,8686,54.54555348227841,-47.41201930354791,SER,0.514797867516472,623.1254,0.0031,500.9246,0.0028,12.7928,0.0196,17.893,0.0014,1.1330,0.0027,0.8218,0.0005,-48.3031,0.1448,623.1254,0.0031,500.9246,0.0028,12.5481,0.0120,17.2358,8.0E-4,1.2838,0.0016,0.8218,0.0005,-48.3031,0.1448,623.1254,0.0031,500.9246,0.0028,12.3146,0.0154,16.917,0.001,1.4277,0.0021,0.8218,0.0005,-48.3031,0.1448,623.1254,0.0031,500.9246,0.0028,12.0618,0.0262,16.7671,0.0017,1.5834,0.0037,0.8218,0.0005,-48.3031,0.1448,87009,0544m475,8686,0.011218387,22.115063,22.20595,22.446299,24.810143,,,,,58,3,0.0
58,4,8794,54.54934174827138,-47.38559464123681,SER,0.514797867516472,583.7546,0.0044,852.2288,0.003,13.6483,0.0125,17.641,9.0E-4,0.8404,0.0016,0.6272,0.0003,75.3871,0.0503,583.7546,0.0044,852.2288,0.003,12.9498,0.0078,17.2002,6.0E-4,0.9488,0.0010,0.6272,0.0003,75.3871,0.0503,583.7546,0.0044,852.2288,0.003,12.2834,0.0103,17.033,8.0E-4,1.0522,0.0014,0.6272,0.0003,75.3871,0.0503,583.7546,0.0044,852.2288,0.003,11.5620,0.0174,16.9394,0.0013,1.1642,0.0025,0.6272,0.0003,75.3871,0.0503,87009,0544m475,8794,0.010906948,17.672039,17.193869,16.959492,16.859026,17.243143,17.742384,15.785693,14.590857,58,4,0.0
58,2,8390,54.53527578198323,-47.3867555551081,REX,0.514797867516472,708.5748,0.0067,824.0987,0.0041,6.9458,0.0116,19.0061,0.0015,0.6513,0.0042,0.5200,0.0007,-78.2427,0.0877,708.5748,0.0067,824.0987,0.0041,7.0305,0.0084,18.7465,0.0013,0.7126,0.0023,0.5200,0.0007,-78.2427,0.0877,708.5748,0.0067,824.0987,0.0041,7.1114,0.0130,18.6302,0.002,0.7711,0.0038,0.5200,0.0007,-78.2427,0.0877,708.5748,0.0067,824.0987,0.0041,7.1989,0.0212,18.5713,0.003,0.8344,0.0068,0.5200,0.0007,-78.2427,0.0877,87009,0544m475,8390,0.011228248,22.60847,22.281893,21.848536,22.128214,,,,13.905605,58,2,0.0
58,1,8010,54.52236933614189,-47.4059597702231,SER,0.514797867516472,834.3067,0.0023,572.3656,0.0014,13.4267,0.0103,17.39,7.0E-4,0.8739,0.0015,0.5037,0.0002,66.1839,0.0221,834.3067,0.0023,572.3656,0.0014,13.0749,0.0064,16.5885,4.0E-4,1.1655,0.0010,0.5037,0.0002,66.1839,0.0221,834.3067,0.0023,572.3656,0.0014,12.7393,0.0080,16.242,5.0E-4,1.4438,0.0013,0.5037,0.0002,66.1839,0.0221,834.3067,0.0023,572.3656,0.0014,12.3760,0.0135,16.0172,8.0E-4,1.7450,0.0022,0.5037,0.0002,66.1839,0.0221,87009,0544m475,8010,0.011669433,17.418476,16.607794,16.253368,16.002378,16.073336,16.484526,14.881485,12.7173,58,1,0.0
59,3,8588,55.13591683083962,-48.62590921258528,REX,0.777873223011235,683.3837,0.0021,751.3934,0.0022,5.2750,0.0085,17.9393,0.0012,1.5065,0.0041,0.9441,0.0008,27.4942,0.671,683.3837,0.0021,751.3934,0.0022,5.5392,0.0060,17.5539,9.0E-4,1.5080,0.0025,0.9441,0.0008,27.4942,0.671,683.3837,0.0021,751.3934,0.0022,5.7913,0.0096,17.3913,0.0014,1.5095,0.0035,0.9441,0.0008,27.4942,0.671,683.3837,0.0021,751.3934,0.0022,6.0642,0.0160,17.2731,0.0021,1.5111,0.0060,0.9441,0.0008,27.4942,0.671,82197,0550m487,8588,0.011558753,17.999365,17.662949,17.52723,17.450293,17.818495,18.271765,16.325787,16.01971,59,3,0.0
59,2,8476,55.13265426951509,-48.62954589610883,SER,0.777873223011235,713.0419,0.0033,701.4488,0.003,4.0021,0.0065,18.9181,0.0012,0.2996,0.0048,0.6564,0.0011,-47.2016,0.156,713.0419,0.0033,701.4488,0.003,3.9587,0.0037,18.7234,0.0011,0.3349,0.0024,0.6564,0.0011,-47.2016,0.156,713.0419,0.0033,701.4488,0.003,3.9173,0.0052,18.6425,0.0018,0.3686,0.0037,0.6564,0.0011,-47.2016,0.156,713.0419,0.0033,701.4488,0.003,3.8725,0.0092,18.5872,0.0026,0.4052,0.0070,0.6564,0.0011,-47.2016,0.156,82197,0550m487,8476,0.011502105,18.867332,18.696972,18.613857,18.563953,19.090052,19.351248,18.000803,14.357141,59,2,0.0
59,1,8165,55.12245913409185,-48.64203615489762,PSF,0.777873223011235,800.4702,0.0061,534.46,0.0055,6.2942,0.0286,19.0857,0.0037,1.3702,0.0115,0.7640,0.0018,-77.3936,0.3251,800.4702,0.0061,534.46,0.0055,5.9702,0.0186,18.3022,0.0023,1.3073,0.0067,0.7640,0.0018,-77.3936,0.3251,800.4702,0.0061,534.46,0.0055,5.6610,0.0182,18.0863,0.0028,1.2473,0.0067,0.7640,0.0018,-77.3936,0.3251,800.4702,0.0061,534.46,0.0055,5.3264,0.0282,17.8155,0.0043,1.1824,0.0116,0.7640,0.0018,-77.3936,0.3251,82197,0550m487,8165,0.011243959,22.560751,22.569918,22.7976,22.576576,19.689568,20.617712,16.161001,13.189478,59,1,0.0
59,4,7533,55.15103067821671,-48.62424917136797,REX,0.777873223011235,545.7068,0.0026,773.3462,0.0023,15.6775,0.0070,16.3512,4.0E-4,0.6246,0.0007,0.8972,0.0002,-51.4057,0.1255,545.7068,0.0026,773.3462,0.0023,15.4344,0.0062,15.9169,4.0E-4,0.9331,0.0005,0.8972,0.0002,-51.4057,0.1255,545.7068,0.0026,773.3462,0.0023,15.2025,0.0103,15.7328,6.0E-4,1.2275,0.0010,0.8972,0.0002,-51.4057,0.1255,545.7068,0.0026,773.3462,0.0023,14.9515,0.0164,15.6249,9.0E-4,1.5462,0.0017,0.8972,0.0002,-51.4057,0.1255,83150,0550m485,7533,0.011718989,16.42207,15.948942,15.725914,15.561255,15.906247,16.312056,13.958205,13.123792,59,4,0.0
60,2,7925,55.61118847941587,-41.14467798349656,SER,1.24389571993059,760.329,0.002,828.524,0.0018,32.1301,0.0115,14.8202,3.0E-4,1.5322,0.0006,0.6008,0.0001,-45.3269,0.0126,760.329,0.002,828.524,0.0018,33.6064,0.0069,14.3513,2.0E-4,1.4636,0.0004,0.6008,0.0001,-45.3269,0.0126,760.329,0.002,828.524,0.0018,35.0150,0.0109,14.1539,3.0E-4,1.3982,0.0005,0.6008,0.0001,-45.3269,0.0126,760.329,0.002,828.524,0.0018,36.5399,0.0192,13.9581,5.0E-4,1.3274,0.0008,0.6008,0.0001,-45.3269,0.0126,112777,0555m412,7925,0.016196558,14.856407,14.359839,14.138651,14.059103,14.68868,15.192921,13.549897,13.22913,60,2,0.004923
60,4,8577,55.63225419210978,-41.14952251705099,SER,1.24389571993059,543.1362,0.0172,761.8956,0.0042,23.4074,0.0219,17.9773,0.0011,0.3215,0.0018,0.1948,0.0002,-76.1876,0.0159,543.1362,0.0172,761.8956,0.0042,23.2410,0.0168,17.5627,8.0E-4,0.4136,0.0011,0.1948,0.0002,-76.1876,0.0159,543.1362,0.0172,761.8956,0.0042,23.0822,0.0271,17.4021,0.0015,0.5014,0.0021,0.1948,0.0002,-76.1876,0.0159,543.1362,0.0172,761.8956,0.0042,22.9104,0.0439,17.2894,0.0023,0.5965,0.0037,0.1948,0.0002,-76.1876,0.0159,112777,0555m412,8577,0.01602056,17.983545,17.540854,17.329906,17.268105,17.81973,18.346998,17.578796,,60,4,0.0
60,1,7924,55.61115773427836,-41.1554598853192,REX,1.24389571993059,760.2231,0.007,679.8684,0.0077,8.0804,0.0216,18.7131,0.0023,0.8793,0.0046,0.8892,0.0016,28.5375,0.6319,760.2231,0.007,679.8684,0.0077,8.0385,0.0191,18.3802,0.0022,1.0846,0.0041,0.8892,0.0016,28.5375,0.6319,760.2231,0.007,679.8684,0.0077,7.9986,0.0338,18.2773,0.0041,1.2804,0.0077,0.8892,0.0016,28.5375,0.6319,760.2231,0.007,679.8684,0.0077,7.9554,0.0543,18.2072,0.0059,1.4924,0.0125,0.8892,0.0016,28.5375,0.6319,112777,0555m412,7924,0.016171342,18.722605,18.39752,18.28644,18.20053,19.205925,19.426176,16.352234,11.847135,60,1,0.0
62,1,10483,57.72755090099398,-38.08460802995427,SER,1.22813698033942,739.717,0.0017,488.3648,0.0012,17.8373,0.0073,16.6968,3.0E-4,1.0490,0.0007,0.7076,0.0002,64.703,0.0244,739.717,0.0017,488.3648,0.0012,17.5046,0.0045,16.0116,4.0E-4,1.2238,0.0004,0.7076,0.0002,64.703,0.0244,739.717,0.0017,488.3648,0.0012,17.1872,0.0060,15.6648,3.0E-4,1.3906,0.0006,0.7076,0.0002,64.703,0.0244,739.717,0.0017,488.3648,0.0012,16.8436,0.0103,15.4792,7.0E-4,1.5711,0.0010,0.7076,0.0002,64.703,0.0244,127222,0577m380,10483,0.013472011,16.63893,15.945167,15.584404,15.372082,15.457781,15.811007,13.970065,13.087752,62,1,0.0
62,2,10649,57.73011576466543,-38.06117170321892,EXP,1.22813698033942,711.9082,0.004,810.1617,0.0077,11.0159,0.0217,18.8671,0.0015,1.0370,0.0032,0.4421,0.0005,15.1165,0.0585,711.9082,0.004,810.1617,0.0077,11.5858,0.0238,18.7122,0.0025,1.1008,0.0032,0.4421,0.0005,15.1165,0.0585,711.9082,0.004,810.1617,0.0077,12.1295,0.0392,18.6628,0.0024,1.1616,0.0053,0.4421,0.0005,15.1165,0.0585,711.9082,0.004,810.1617,0.0077,12.7182,0.0596,18.6043,0.0081,1.2275,0.0081,0.4421,0.0005,15.1165,0.0585,127222,0577m380,10649,0.013639145,18.876032,18.76951,18.760698,18.74153,19.048126,20.649397,19.212755,11.593705,62,2,0.0
62,3,10694,57.73095681634258,-38.04195678843559,SER,1.22813698033942,702.9158,0.0011,1074.2269,0.0018,9.1046,0.0032,17.7656,4.0E-4,0.4001,0.0008,0.4929,0.0001,-31.8752,0.0178,702.9158,0.0011,1074.2269,0.0018,8.6544,0.0020,17.2021,6.0E-4,0.5704,0.0005,0.4929,0.0001,-31.8752,0.0178,702.9158,0.0011,1074.2269,0.0018,8.2247,0.0026,16.9857,3.0E-4,0.7328,0.0008,0.4929,0.0001,-31.8752,0.0178,702.9158,0.0011,1074.2269,0.0018,7.7597,0.0044,16.8276,0.0012,0.9087,0.0014,0.4929,0.0001,-31.8752,0.0178,127222,0577m380,10694,0.013397953,17.769075,17.208548,16.972385,16.785788,16.92697,17.499128,15.351199,12.858568,62,3,0.0
68,4,12694,73.38137624380975,-36.24073564478677,DUP,0.603717416037275,485.7218,0.0016,861.6214,0.0019,74.3136,0.5860,16.6556,0.0041,5.8999,0.0218,0.6635,0.0006,8.8054,0.062,485.7218,0.0016,861.6214,0.0019,70.7885,0.3250,15.7823,0.0023,6.8348,0.0116,0.6635,0.0006,8.8054,0.062,485.7218,0.0016,861.6214,0.0019,67.4251,0.3934,15.4696,0.0028,7.7268,0.0166,0.6635,0.0006,8.8054,0.062,485.7218,0.0016,861.6214,0.0019,63.7842,0.7155,15.2893,0.0053,8.6924,0.0308,0.6635,0.0006,8.8054,0.062,135321,0734m362,12694,0.009605601,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,68,4,0.0
68,1,1826,73.34498265667271,-36.24702057351266,SER,0.603717416037275,889.0855,0.007,775.5761,0.005,16.2410,0.0928,18.618,0.0043,1.9818,0.0132,0.6173,0.0013,-55.005,0.1629,889.0855,0.007,775.5761,0.005,14.9553,0.0514,18.2496,0.0027,2.1998,0.0076,0.6173,0.0013,-55.005,0.1629,889.0855,0.007,775.5761,0.005,13.7286,0.0844,18.1498,0.0047,2.4078,0.0143,0.6173,0.0013,-55.005,0.1629,889.0855,0.007,775.5761,0.005,12.4007,0.1522,18.1442,0.0089,2.6329,0.0255,0.6173,0.0013,-55.005,0.1629,135321,0734m362,1826,0.009709291,18.65416,18.203957,18.023327,17.9103,19.028727,19.208858,,13.474765,68,1,0.0
68,3,2667,73.36776031033033,-36.25887232763502,SER,0.603717416037275,636.7284,0.0032,611.9177,0.0036,21.9344,0.5266,18.0686,0.0093,9.5647,0.0984,0.5235,0.0014,1.4535,0.1247,636.7284,0.0032,611.9177,0.0036,23.5083,0.3238,17.6152,0.0054,9.3538,0.0572,0.5235,0.0014,1.4535,0.1247,636.7284,0.0032,611.9177,0.0036,25.0100,0.5302,17.401,0.0086,9.1526,0.0774,0.5235,0.0014,1.4535,0.1247,636.7284,0.0032,611.9177,0.0036,26.6355,0.9203,17.3126,0.0139,8.9347,0.1365,0.5235,0.0014,1.4535,0.1247,135321,0734m362,2667,0.00980965,18.454401,18.061691,17.872519,17.813047,19.254517,19.813044,17.845795,13.588338,68,3,0.0
