brickid,brickname,objid,type,ra,dec,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
146988,0295m337,10412,SER,29.65904200747763,-33.77274614354732,1093.2582,592.89056,245.51897,67.14547
146988,0295m337,10460,SER,29.65995099349912,-33.77411622899432,748.82385,434.5201,172.60576,52.223534
146988,0295m337,10476,EXP,29.66033434979115,-33.77329207649867,1677.746,948.76245,410.3808,122.21998
146988,0295m337,10524,SER,29.66166257692671,-33.74332914844585,100.61542,52.68779,32.584175,13.969412
146988,0295m337,10554,SER,29.66241206611989,-33.74341881957093,296.0478,172.8577,118.97871,47.128605
146988,0295m337,10652,SER,29.6653533612545,-33.7557267984171,191.6522,116.96722,56.830635,20.121592
146988,0295m337,11410,SER,29.68639040884189,-33.75809571986631,1499.8041,911.52985,462.15787,158.3761
146988,0295m337,11421,SER,29.68659056847958,-33.75728046432995,307.5005,185.71092,113.32426,47.654675
159150,0310m312,1498,SER,30.96466705372731,-31.14377393611345,63.491978,30.45514,25.38297,13.079433
159150,0310m312,1526,REX,30.96566536166714,-31.14416246418991,458.23495,280.99274,223.88315,91.12639
159150,0310m312,1519,SER,30.96558086113705,-31.14352715008203,664.2948,499.29294,498.28403,195.25171
159150,0310m312,1500,SER,30.96471894314994,-31.14298466703161,608.0592,413.60217,444.91235,172.90903
159150,0310m312,1257,SER,30.95856931662525,-31.14696311824521,215.62834,113.02773,65.55204,33.181114
159150,0310m312,1260,SER,30.95866198216364,-31.14670737261564,274.14752,137.66054,69.661095,32.09314
159150,0310m312,1305,REX,30.95968742991997,-31.14669418212906,1514.8127,759.0905,306.14563,125.47446
159150,0310m312,1935,SER,30.97779941714778,-31.15583169003519,921.12885,638.0788,320.59814,137.20908
159150,0310m312,1975,REX,30.97895285181834,-31.15653072659946,2420.3733,1488.8164,549.6856,236.20366
159150,0310m312,1972,SER,30.97886528617959,-31.15557516968853,251.53526,132.86769,70.451,39.582058
159150,0310m312,1953,EXP,30.97824092836464,-31.15484532567381,766.86835,460.88922,171.73604,73.72052
