galaxy_id,NYU_id,z_source_id,ra,dec,z,r,r_limit,completeness,M_r,stellar_mass,g-r
9730,54352,-1,210.340052441,-1.187200624,0.165194,16.9777012,17.7700005,0.9286,-21.6204681,11.0668917,0.9727821
9464,53852,-1,194.965428727,-1.080854417,0.168554,17.7686005,17.7224998,0.8963,-20.9060612,11.0674639,1.2220936
10230,56181,-1,183.353460157,-0.631328079,0.077877,17.2764015,17.7155991,0.8494,-19.5888977,10.1524076,0.8546085
8682,51036,-1,238.931876736,-0.15255137,0.085452,17.6729012,17.6658001,0.8083,-19.3974075,10.1405611,0.8786907
8612,50806,-1,245.930964165,-0.437502672,0.141438,17.4715004,17.6604004,0.7826,-20.7643299,10.7491112,1.0109043
8697,51069,-1,240.036468938,-0.021669005,0.136808,17.3830013,17.6658001,0.9085,-20.7854862,10.7629833,0.9524593
22090,86530,-1,195.924472874,0.269202815,0.081274,17.1437016,17.7007999,0.8493,-19.8189621,10.2691603,0.8962364
22117,86579,-1,197.748156421,0.340048469,0.094253,17.5205002,17.7007999,0.927,-19.7798061,10.2430038,0.8630867
10580,56791,-1,202.340090092,-0.779744579,0.016331,16.205101,17.7155991,0.9643,-17.2181396,8.7530594,0.3818588
12271,61084,-1,235.973384875,-0.362367405,0.033729,17.6037006,17.7131996,0.9091,-17.4411907,8.7564344,0.2475643
8605,50789,-1,245.624197832,-0.441265225,0.044898,17.5195999,17.6604004,0.8077,-18.1490955,9.3226185,0.5928593
8445,46716,-1,55.053212786,0.885918235,0.038776,16.9188004,17.6917,0.9826,-18.4468079,9.3029785,0.446785
8785,51234,-1,243.583203908,-0.031562947,0.030811,15.1700001,17.6658001,0.8473,-19.627882,10.2057285,0.9137402
8809,51285,-1,246.620131048,-0.020245512,0.084402,16.9162998,17.6658001,0.7826,-20.1368217,10.1820745,0.6676502
256932,708504,-1,57.101399689,0.994942643,0.038836,17.0393009,17.7880001,0.9587,-18.2707462,9.5156078,0.722311
9319,53581,-1,185.642600232,-1.169817557,0.061814,17.3854008,17.7224007,0.8698,-18.9984798,9.5270262,0.3629608
9319,53581,-1,185.642600232,-1.169817557,0.061814,17.3854008,17.7224007,0.8698,-18.9984798,9.5270262,0.3629608
22123,86592,-1,198.148811814,0.226314854,0.081822,17.639101,17.7007999,0.7904,-19.3646698,9.5288734,0.3112659
22098,86547,-1,196.60842627,0.276750096,0.090277,17.2224998,17.7007999,0.8493,-19.985836,10.0255032,0.5478172
8458,46796,-1,56.150921716,0.979238841,0.104442,17.1953011,17.6917,0.9826,-20.3334637,10.0154715,0.4295654
11646,59803,-1,200.661163383,-0.281908283,0.013886,15.9893999,17.7129993,0.979,-17.0602627,8.7392111,0.4264336
11931,60370,-1,215.872440631,-0.377673685,0.031813,17.4654007,17.7129993,0.8271,-17.4676971,8.7129946,0.1652603
20627,82606,-1,213.07907718,-0.122684451,0.017454,17.2252007,17.7066002,0.9474,-16.3725052,8.3294125,0.2852287
23982,91059,-1,201.879549488,0.739126064,0.013807,16.9250011,17.7000008,0.8957,-16.1052837,8.3134346,0.3364973
8601,50783,-1,245.367351214,-0.45708113,0.059077,15.3290997,17.6604004,0.8077,-20.919138,10.6588011,0.8123131
8815,51303,-1,247.600037192,-0.084795106,0.113344,16.8313999,17.6658001,0.8462,-20.8886185,10.6740131,0.8654041
8622,50826,-1,246.695640032,-0.510108011,0.044508,16.3703003,17.6604004,0.7826,-19.306036,9.6361065,0.4298935
