brickid,brickname,objid,type,ra,dec,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
277180,3327m095,4668,SER,332.8807266074162,-9.454318277477856,92.67821,119.00387,139.40314,136.50359,42.401825,10.211278,5.126072,1.5813543
357143,2169p045,572,SER,216.8745082949887,4.384597318235352,94.88963,117.73507,137.66507,134.15279,32.658966,10.741107,5.8682146,2.6902623
349878,1978p032,4642,SER,198.0157236220275,3.171885162007174,64.976715,98.04267,119.11838,126.19186,24.832785,9.113267,5.506119,1.4846793
315295,1918m027,1231,SER,191.7969216947929,-2.87082594463087,331.57025,530.37054,654.98413,713.1553,6.1378508,1.992721,1.8768969,0.40883893
333899,1628p005,9951,SER,162.9693943954509,0.5541060523348094,162.59114,251.02359,307.63495,330.82492,30.26224,11.175982,8.414447,1.6815394
334783,0238p007,1643,SER,23.78660816819552,0.7177289366058177,94.20314,141.37114,165.48938,189.73904,188.05545,108.0793,48.221424,24.649582
328171,1708m005,46,REX,170.7505644004969,-0.6154032951886176,82.58342,120.645,135.56471,149.0242,99.62534,57.873207,12.338197,18.091831
328170,1706m005,5355,REX,170.7499420796989,-0.6150493901442413,2.4630551,3.1553702,2.546967,2.8223965,620.4997,348.17526,99.32619,130.37689
385552,1682p095,2580,SER,168.2090246957811,9.52754195201116,217.5869,335.6166,418.54578,462.50372,14.121005,3.2007813,0.35979953,0.5688104
287425,0401m075,5077,SER,40.14549835013599,-7.564843143242248,78.71281,124.0947,149.9225,168.38303,217.55956,122.73814,42.85139,15.793888
348400,1881p030,1302,SER,188.0170482048303,2.958627025370679,77.85724,114.59438,138.44455,145.14758,30.73174,99.267006,2.4385872,1.031807
492343,1223p292,5666,SER,122.4731380221968,29.28467570211505,68.0743,103.72583,125.72302,132.61281,46.13074,24.972044,5.4400425,2.274992
396818,1495p115,1759,SER,149.5035868551822,11.59250497259721,109.42405,175.5362,221.48901,248.78171,42.10574,11.613119,15.749943,3.749418
338388,2051p012,1889,EXP,205.0740561548824,1.292312237862342,1.3494484,1.2630017,0.7294322,0.7223387,538.01843,149.93687,110.51665,59.537468
338388,2051p012,1907,REX,205.0749306695749,1.292745326371529,74.14548,111.13068,131.10136,144.5403,48.538227,13.976308,8.276102,5.074944
484725,1194p277,3824,SER,119.5325254560517,27.63540211892072,117.87134,169.63948,198.75517,224.30212,97.53194,29.612934,8.28032,5.401348
484725,1194p277,3813,DEV,119.5321570634923,27.63564017032894,-1.8800788,7.7521534,8.841558,14.906151,58.110184,16.84373,4.8840036,3.203881
331881,0183p002,4586,EXP,18.35349761906232,0.220466559659007,108.45388,167.90955,198.03383,227.51526,375.87045,112.95768,42.83968,22.514566
331881,0183p002,4570,SER,18.35318771956273,0.221247501761662,2.3257635,2.2895954,1.6920815,1.6389191,2730.5378,1025.0981,436.35242,241.72633
336225,0243p010,2382,SER,24.29629568793351,0.8824087741111314,98.678955,134.37506,142.37886,166.60078,1680.6711,477.51868,158.95126,62.413033
336225,0243p010,2395,SER,24.29651570580931,0.882468173733603,15.594539,19.27215,19.114998,19.187126,3857.7844,1304.6753,515.54694,175.46477
349796,1773p032,4589,SER,177.4138721530343,3.221751503245315,132.24806,188.50713,211.23119,234.34122,34.684044,15.156342,12.66512,2.8115156
341193,1863p017,321,SER,186.2618340655151,1.794033452248567,73.06951,118.58357,148.57608,165.27946,33.5341,20.932673,1.2027217,2.5578566
355514,1688p042,2406,SER,168.8317859154857,4.206759163116113,136.94563,200.33833,241.27646,251.4415,26.829605,12.159063,11.469579,5.2781415
355514,1688p042,2423,PSF,168.8322338276608,4.206413554492241,1.9666792,2.1920357,1.5079376,1.8857982,1125.2568,708.4334,1000.452,445.63834
281659,0256m085,5375,REX,25.65137219788983,-8.570145890076473,140.24962,214.66322,262.5179,281.3009,19.944328,13.72592,3.6864688,1.193857
290301,0441m070,2990,SER,44.14481188479591,-7.119786823586438,221.26303,340.21542,418.7687,453.5771,33.36707,19.796791,5.815273,1.5978093
328812,3311m005,9116,SER,331.2330663174088,-0.5976173055012781,88.149925,175.87029,236.48692,280.33066,76.71775,41.499252,11.623964,7.442882
378381,1553p082,4652,SER,155.4240423057992,8.371880442518323,2.6975493,2.2596369,1.5323125,1.4779079,721.864,240.25757,171.75807,89.0157
378381,1553p082,4662,SER,155.4246425288499,8.371763037845232,100.41494,145.27527,163.99489,183.29883,76.177574,22.181156,17.772352,8.742919
