Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv
28,1,0.0724,20.24462727220963,-32.06282642816967,1.847816572553091,1.9024458146172645,7.8737,0.6432,8.0469,0.7986,8.2121,0.9469,8.391,1.1074,0.0101,0.0036,0.0083,0.0021,0.0145,0.0042,0.0234,0.0074,18.63589645255707,18.474475821546886,18.2334788511192,18.30933612449044,0.026235
29,2,0.114883,20.41330839888735,-38.10274483052454,0.5657907334639791,0.6844763532476197,7.7444,1.0634,7.2578,1.2644,6.7935,1.4563,6.2909,1.664,0.0201,0.0059,0.0121,0.0032,0.0154,0.0048,0.0265,0.0087,19.44872679902339,18.495943957048766,18.06732111737954,17.868433478165596,0.017717453
29,4,0.114883,20.43451926412359,-38.06105280715363,1.2182465786347567,1.2079719259071027,15.476,0.7412,13.9924,0.9088,12.5769,1.0687,11.0445,1.2418,0.0139,0.0019,0.0086,0.001,0.0113,0.0017,0.0192,0.0032,18.001311778405245,17.402231933503682,17.011620539856747,16.879513798426444,0.017960101
29,1,0.114883,20.38887533531592,-38.07229220822765,2.156390977900216,2.207449357917742,12.2932,0.6984,12.0622,0.7269,11.8419,0.7542,11.6034,0.7836,0.014,0.0022,0.0091,0.0011,0.014,0.0019,0.0237,0.0035,18.186401331256803,17.771082872836022,17.468654759319822,17.476357035814576,0.017932164
29,3,0.115156,20.41619222635546,-38.07807236029036,0.6770904531124149,0.5309052930621405,7.9402,1.1555,7.409,1.3579,6.9022,1.5511,6.3535,1.7602,0.0076,0.0025,0.0045,0.0014,0.0062,0.0023,0.011,0.0041,18.074276961148524,17.440008662565557,17.04223400925151,16.925422045819815,0.017943224
34,4,0.025227,24.65484190517569,-40.01143096051686,nan,0.21567613708859312,77.428,2.644,74.4018,2.7369,71.5145,2.8255,68.3889,2.9215,0.0516,0.0015,0.0305,0.0009,0.029,0.0008,0.0497,0.0014,nan,nan,nan,nan,0.013918355
34,2,0.068968,24.61344207589009,-40.00632048453307,0.7201095277121716,0.7427744583717555,13.5553,1.2462,13.6329,1.527,13.707,1.7949,13.7871,2.0849,0.0203,0.003,0.0113,0.0017,0.0164,0.0024,0.0296,0.0043,16.693050746750313,15.832239431647473,15.46839336398852,15.20983342815265,0.014003525
34,1,0.025227,24.59397860042316,-40.01277573056711,-0.5999385990707751,-0.696526844016411,17.0933,1.1351,15.9549,1.1947,14.8687,1.2516,13.6928,1.3131,0.0463,0.0052,0.0275,0.0032,0.0311,0.004,0.0537,0.0069,17.751270362026567,17.02835494887845,16.68864826356702,16.4373996427454,0.014104888
34,3,0.025227,24.6358900324604,-40.02196211047985,-0.006282664325693688,0.037342358031780876,13.9062,0.7614,14.1705,0.8408,14.4228,0.9166,14.6958,0.9986,0.032,0.0048,0.0238,0.0024,0.0391,0.0044,0.0641,0.0081,17.869967147802317,17.563679686932844,17.41126276828623,17.3480001521663,0.013948152
35,2,0.060572,25.5612075562337,-54.43857303940469,nan,0.3184658253747781,16.862,1.8018,17.2417,1.8098,17.604,1.8174,17.9961,1.8256,0.0288,0.0037,0.0172,0.0021,0.0295,0.0033,0.0518,0.0059,nan,nan,nan,nan,0.023369707
35,3,0.060805,25.57396994166383,-54.44834918719977,0.37628329501387725,0.31659234177469386,11.9505,0.5123,11.7782,0.6049,11.6138,0.6933,11.4359,0.7889,0.0107,0.0021,0.0088,0.0014,0.015,0.0027,0.0242,0.0046,18.236323134972988,17.985516296165752,17.756111327033814,17.747791966903783,0.022918489
36,1,0.0428,26.88918569427224,-30.2617488125907,0.9385394332287014,0.9647951191495068,12.7935,1.6745,12.2872,1.7504,11.8041,1.8229,11.2811,1.9013,0.0067,0.0012,0.0038,0.0007,0.006,0.001,0.0106,0.0018,16.246404899292322,15.924759692301485,15.77105590757843,15.676963808121087,0.01652258
36,4,0.0428,26.91354851874674,-30.24911880652262,0.16771276315168393,0.18034224523372977,3.9111,3.6666,4.5501,3.4877,5.1599,3.317,5.8199,3.1321,0.0232,0.0286,0.018,0.0178,0.0319,0.0208,0.0525,0.0347,18.664619591919802,18.561444393910605,18.463068202115466,18.506454411741665,0.016972756
36,3,0.0428,26.90490354802899,-30.25425529877529,0.35286539300097886,0.10444534263385918,9.6617,1.151,9.6903,1.176,9.7175,1.2,9.747,1.2259,0.0048,0.0013,0.0029,0.0008,0.004,0.001,0.0071,0.0018,16.894715190201598,16.440192192058237,16.20735322553714,16.08368013383114,0.016820092
36,2,0.0425,26.8952270149351,-30.26768591844592,0.2560589231704906,0.26457801777060297,11.3676,0.5438,10.9358,0.5376,10.5239,0.5316,10.0779,0.5251,0.0119,0.003,0.0069,0.0015,0.0109,0.0025,0.0193,0.0047,18.46008739034777,18.241172220367346,18.086251998507613,18.056337085213872,0.016626108
38,1,0.044701,27.18138553326402,13.68754653128461,-0.04863878108523245,-0.05839511757651472,18.4208,0.7438,18.4436,0.8443,0.0,0.0,18.4889,1.044,0.0356,0.0025,0.0296,0.0019,0.0,0.0,0.0713,0.0053,17.850586626500395,17.271696728073188,nan,16.844542662885,0.054501202
38,2,0.044567,27.18433339919904,13.69942507557517,0.5768745816443186,0.5217003662003172,18.8583,2.054,19.1795,2.5647,0.0,0.0,19.8179,3.5795,0.0197,0.0026,0.0147,0.0019,0.0,0.0,0.0395,0.0052,15.698982722449067,14.957144136214236,nan,14.376757406848611,0.05502789
38,3,0.04482,27.18947930893261,13.71669923697014,0.6032869713887976,0.5824799642721192,13.2634,1.4937,13.8491,1.6196,0.0,0.0,15.013,1.8696,0.0093,0.0014,0.0079,0.0011,0.0,0.0,0.0208,0.0026,16.236644095477413,15.779405714110517,nan,15.43952041656187,0.05580897
38,4,0.063404,27.19234414037269,13.72650684187296,1.325655830494835,1.364614308236602,12.3448,0.98,12.5584,1.0674,0.0,0.0,12.9829,1.2411,0.0096,0.0014,0.0076,0.0009,0.0,0.0,0.0177,0.0023,16.920737960432024,16.380730991152948,nan,15.962243126341487,0.056262165
39,1,0.157394,29.6593525435057,-33.77359425372538,1.4104671065072303,1.459774156839261,9.963,0.8404,9.7964,1.4029,9.6375,1.9397,9.4655,2.5207,0.0148,0.0029,0.01,0.0022,0.0167,0.004,0.0281,0.0066,18.49050789029128,17.447586738143123,17.013858236327945,16.78187687130536,0.01881649
39,2,0.157394,29.66166257692671,-33.74332914844585,1.8032959747155175,1.7797042288097646,8.0183,0.8596,7.7929,0.9298,7.5778,0.9969,7.345,1.0694,0.0027,0.0009,0.0018,0.0006,0.0022,0.0008,0.0036,0.0013,16.641410564358974,16.05820769991091,15.70516305600644,15.64984030512399,0.019050054
