Group,Gal,zmemb,ra,dec,logSFR_NUV,log_sSFR,log(M_stellar),RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z
121,2,0.073425,188.4074270292317,19.86575371114036,0.5426274914719453,-10.370006335286417,10.912633826758363,11.6696,1.066,11.1662,1.1858,10.6858,1.3001,10.1659,1.4238,0.0198,0.0032,0.0142,0.0023,0.0212,0.0038,0.0346,0.0063,16.792852,16.050482,15.699966,15.473612
121,3,0.073886,188.4132149069272,19.87870153643733,0.4104238922766683,-9.44441833528642,9.854842227563088,13.0714,0.9046,12.7431,1.07,12.4299,1.2278,12.0909,1.3986,0.0082,0.0013,0.0052,0.0008,0.0069,0.0012,0.0115,0.002,17.88615,17.442114,17.218866,17.135918
121,4,0.073587,188.4351670354473,19.86523569221862,0.1443017769600896,-9.463427635286418,9.607729412246508,9.2058,0.9538,8.8325,1.0963,8.4763,1.2321,8.0908,1.3792,0.0416,0.0079,0.0277,0.0053,0.0414,0.009,0.0692,0.0154,18.909395,18.357433,18.108734,18.00852
122,2,0.068894,190.3133046107841,18.30414904898066,0.09802238250690465,-8.820412835286419,8.918435217793323,9.8886,0.8716,10.0707,0.9229,10.2444,0.9719,10.4325,1.0249,0.0653,0.0099,0.0525,0.0073,0.0904,0.0134,0.1469,0.0224,19.019547,18.754763,18.6858,18.653212
122,3,0.077262,190.3347780883998,18.30641529825251,0.4461114732383553,-10.237994835286417,10.684106308524772,17.3385,1.3324,17.2298,1.6685,17.126,1.9892,17.0138,2.3364,0.0374,0.0042,0.0212,0.0024,0.0356,0.0042,0.0636,0.0075,17.544397,16.784338,16.429535,16.199842
122,4,0.070976,190.3524647842002,18.31344056490991,0.573722621348363,-8.060142735286414,8.633865356634777,15.8104,0.7054,15.6319,1.0054,15.4616,1.2917,15.2772,1.6016,0.0108,0.0012,0.0072,0.0007,0.0113,0.0013,0.0191,0.0023,19.158901,18.918674,18.946707,19.024101
126,3,0.069217,195.7339956565311,5.512122711978418,0.6463251254717584,-9.250554235286417,9.896879360758176,18.4237,0.699,17.8563,0.8229,17.3149,0.9411,16.7289,1.069,0.0123,0.0014,0.0082,0.0009,0.0096,0.0011,0.0153,0.0018,17.731152,17.243258,17.07694,16.947523
126,2,0.070755,195.7320321707602,5.540629306647933,0.765933851685034,-10.247152735286413,11.013086586971447,25.1139,1.3277,28.1759,2.1935,31.0975,3.0196,34.2602,3.9138,0.035,0.0025,0.0399,0.0027,0.0727,0.0047,0.114,0.0074,16.269875,15.577746,15.237953,15.020239
129,3,0.060895,197.1935285196431,28.88018549061634,0.6835428506975987,-9.632082535286415,10.315625385984013,34.3647,1.2158,34.5138,1.3998,34.656,1.5753,34.81,1.7653,0.052,0.0023,0.0382,0.0017,0.0615,0.0028,0.1008,0.0046,16.479042,16.027832,15.783666,15.6689
129,1,0.0612,197.1819850283685,28.89099568474175,0.3848824253733891,-9.29412013528642,9.679002560659809,1.0166,nan,16.9982,nan,32.2469,nan,48.7535,8.7674,0.085,nan,5.5735,nan,10.9024,nan,16.6711,1.6578,17.684513,17.27914,17.127626,17.018711
130,1,0.05061,197.4529090712558,30.42953795617289,0.17209225569984277,-9.26801023528642,9.440102490986263,46.2548,1.5,45.1907,1.4987,0.0,0.0,43.0762,1.4963,0.0942,0.003,0.0747,0.0023,0.0,0.0,0.1653,0.0056,17.706913,17.31754,,17.10012
130,4,0.050618,197.4909334384504,30.41602685475432,0.2344295440336026,-9.508278535286417,9.74270807932002,9.732,1.1054,10.1242,1.1667,0.0,0.0,10.9037,1.2883,0.0169,0.0028,0.0153,0.0023,0.0,0.0,0.038,0.0059,17.41522,16.9342,,16.639526
130,3,0.05061,197.4829165496734,30.42129399499116,0.5830522556998421,-9.436823935286421,10.019876190986263,27.7665,0.8378,27.8439,0.9285,0.0,0.0,27.9978,1.1089,0.1271,0.0053,0.118,0.0049,0.0,0.0,0.2897,0.0133,16.39326,15.988651,,15.737092
130,2,0.05061,197.4725220256504,30.42860582430374,0.039372255699843706,-9.360024535286419,9.399396790986263,32.2159,1.7991,30.7002,1.8942,0.0,0.0,27.6885,2.0831,0.2056,0.01,0.1555,0.0081,0.0,0.0,0.3709,0.0216,18.04793,17.611532,,17.354136
132,1,0.060622,198.2608024976516,12.6977041752871,0.6860401015174862,-10.195540935286418,10.881581036803905,16.9444,0.7361,18.8195,1.5344,20.6087,2.2961,22.5455,3.1206,0.0314,0.003,0.0368,0.0034,0.065,0.0061,0.1004,0.0094,16.21923,15.534484,15.199342,14.985512
132,4,0.030082,198.2811769270057,12.68375142899898,-0.21524700507259986,-9.16500023528642,8.94975323021382,14.6546,0.924,14.3465,1.0974,14.0525,1.2629,13.7342,1.4421,0.0224,0.0025,0.0202,0.0023,0.0318,0.0041,0.0493,0.0065,17.71384,17.376455,17.177855,17.139519
132,2,0.029737,198.2685821305454,12.71326428388539,0.44133388678003804,-8.508432135286421,8.94976602206646,37.7527,0.8871,38.1159,0.9996,38.4623,1.1069,38.8374,1.2231,0.0498,0.0016,0.0451,0.0014,0.0734,0.0023,0.1148,0.0037,18.118511,17.684757,17.50604,17.387917
133,3,0.023963,198.4552197069566,6.962585863325409,0.08926195658746039,-9.865300835286423,9.954562791873883,40.9209,0.6517,40.6866,0.8362,40.463,1.0123,40.221,1.2029,0.0281,0.0009,0.0254,0.0008,0.0384,0.0013,0.0585,0.0021,15.774125,15.246977,14.969379,14.812118
133,2,0.023963,198.4402283438341,6.977091864346733,-0.9087780434125392,-7.971531835286421,7.062753791873882,21.46,0.879,20.3277,0.8869,19.2474,0.8944,18.0779,0.9025,0.1361,0.0093,0.0945,0.006,0.1252,0.0091,0.2013,0.0155,20.170834,20.030682,20.137318,20.238941
133,1,0.021535,198.4354238371457,6.992117184782036,0.1451493332795053,-10.706931235286419,10.852080568565924,42.4915,1.2375,41.8262,1.3768,41.1914,1.5096,40.5042,1.6535,0.0174,0.0008,0.0117,0.0006,0.0143,0.0007,0.023,0.0011,14.622804,13.876822,13.45416,13.179177
134,1,0.072823,198.5664910171698,17.23412448667367,0.8351167132116188,-9.405185535286414,10.240302248498033,12.2298,1.0345,12.1659,1.4005,12.1049,1.7496,12.0389,2.1276,0.0064,0.0011,0.0042,0.0007,0.0049,0.0008,0.0078,0.0013,16.889591,16.446901,16.276125,16.139883
134,3,0.072724,198.5766331723389,17.20442568463601,0.5828150973668595,-10.52810523528642,11.11092033265328,18.1538,0.8705,18.4465,0.9342,18.7258,0.995,19.0281,1.0609,0.0401,0.0041,0.0281,0.0026,0.0396,0.0036,0.0642,0.0061,16.42467,15.646827,15.32292,15.051479
134,4,0.072823,198.577428067335,17.2472186772797,0.2589567132116173,-8.948054935286418,9.207011648498035,13.8495,0.9874,13.6065,1.1842,13.3746,1.3721,13.1236,1.5754,0.0119,0.0016,0.0076,0.0011,0.01,0.0014,0.0167,0.0023,18.595133,18.341011,18.23343,18.164583
134,2,0.072823,198.5742331190466,17.21775436042278,0.4812767132116136,-8.822942935286424,9.304219648498037,4.9348,1.687,4.8982,1.679,4.8633,1.6714,4.8255,1.6631,0.0141,0.0121,0.0094,0.0077,0.0109,0.008,0.0175,0.0129,18.18719,17.95587,17.879416,17.816612
136,1,0.104214,199.69845439834071,33.531047083861154,0.7001917121825922,-10.138608335286419,10.838800047469011,27.1364,1.2708,26.4535,1.4187,0.0,0.0,25.0965,1.7126,0.0446,0.0028,0.0359,0.0022,0.0,0.0,0.095,0.0062,17.36201,16.68081,-9999.0,16.179438
136,2,0.038,199.7180952974456,33.54017601633738,0.2004267743158863,-9.465874935286422,9.666301709602308,15.7206,1.05,15.3705,1.258,0.0,0.0,14.6749,1.6713,0.0312,0.0035,0.0234,0.0026,0.0,0.0,0.0602,0.0072,16.855457,16.366348,-9999.0,16.126371
136,3,0.104214,199.72991145262432,33.55064241419952,0.9206717121825907,-9.186896035286422,10.107567747469012,24.3132,0.9508,23.918,1.0529,0.0,0.0,23.1329,1.2556,0.0836,0.0064,0.0722,0.005,0.0,0.0,0.1952,0.0148,17.735327,17.367455,-9999.0,17.08176
136,4,0.104214,199.74309558348392,33.55986181720765,0.48367171218258953,-9.33767893528642,9.821350647469009,12.1073,0.709,12.2251,0.8159,0.0,0.0,12.4592,1.0285,0.0163,0.0021,0.0156,0.0018,0.0,0.0,0.0404,0.0053,18.548294,18.116808,-9999.0,17.8593
137,1,0.064273,200.17086135587132,34.1842683882709,0.6073967240192495,-10.139700235286421,10.74709695930567,9.7686,2.0497,9.3142,2.3019,0.0,0.0,8.4114,2.803,0.0104,0.0036,0.0065,0.0023,0.0,0.0,0.0155,0.0059,16.772057,16.045008,-9999.0,15.505748
137,2,0.064619,200.1958442921871,34.19269709677002,0.4706600468533697,-10.184671935286417,10.655331982139787,22.322,1.2496,21.9885,1.6187,0.0,0.0,21.3258,2.3521,0.0366,0.003,0.0268,0.0023,0.0,0.0,0.071,0.0065,17.003038,16.278263,-9999.0,15.740398
137,3,0.118531,200.21617584878547,34.1991582168923,0.7902834778630545,-10.644364135286414,11.434647613149469,15.592,2.6118,14.6523,2.8,0.0,0.0,12.7852,3.1739,0.0372,0.0068,0.024,0.004,0.0,0.0,0.0456,0.0093,17.140188,16.228987,-9999.0,15.598246
137,4,0.111414,200.2378506358787,34.213770765981145,0.9446591142967229,-10.400485135286418,11.345144249583141,13.9778,1.2139,13.1602,1.4264,0.0,0.0,11.5355,1.8487,0.0124,0.0021,0.0083,0.0015,0.0,0.0,0.019,0.0038,16.985027,16.114428,-9999.0,15.531979
138,2,0.063712,202.0160490512872,31.91353145504701,-0.014217942223101687,-9.793352235286422,9.77913429306332,42.7434,1.4173,43.1603,1.5665,0.0,0.0,43.9888,1.863,0.0214,0.0009,0.0148,0.0006,0.0,0.0,0.0266,0.001,18.171707,17.63705,,17.269478
138,4,0.015757,202.0280164716707,31.93186678820862,-0.5120333488881759,-9.808138435286418,9.296105086398242,10.9376,0.8521,10.8441,0.9316,0.0,0.0,10.6583,1.0894,0.0179,0.0039,0.0143,0.0025,0.0,0.0,0.0317,0.0068,16.038515,15.564415,,15.247932
139,3,0.081738,202.4912720525582,9.410954546484907,0.8966275950908162,-9.953989235286418,10.850616830377234,6.3483,1.9247,6.0114,2.1708,5.6899,2.4056,5.3419,2.6598,0.0274,0.0252,0.0224,0.0174,0.022,0.0195,0.0265,0.0299,16.539019,15.906358,15.620096,15.453152
139,2,0.081738,202.4890338010542,9.430217658322215,0.6054275950908128,-6.139122235286422,6.744549830377235,11.3748,2.8976,11.3709,2.8952,11.3672,2.8929,11.3632,2.8905,0.0421,0.0105,0.0283,0.0068,0.028,0.0062,0.0419,0.0094,22.075336,21.935247,22.270376,22.709051
140,1,0.144162,203.3178121602868,11.07620638592481,0.9229211786149882,-5.795698035286417,6.718619213901405,19.9436,1.9611,19.9366,1.7966,19.9299,1.6395,19.9227,1.4695,0.1464,0.0134,0.0914,0.0078,0.1335,0.011,0.2285,0.0194,22.035824,22.155588,23.048388,23.155529
140,4,0.144162,203.3395211011225,11.1023216587484,1.0579211786149898,-8.935937735286414,9.993858913901404,6.8837,2.2595,6.6783,2.4061,6.4824,2.5459,6.2704,2.6973,0.026,0.0133,0.0183,0.0094,0.029,0.0155,0.048,0.0259,18.3192,18.00652,17.787245,17.812914
140,2,0.090623,203.3246429798482,11.08851325656476,0.812336451168953,-7.302958335286419,8.115294786455372,18.2003,0.5323,18.3064,0.7222,18.4077,0.9033,18.5173,1.0994,0.024,0.0018,0.0178,0.0011,0.0255,0.0018,0.0407,0.0031,22.168715,21.919626,21.552042,21.603823
140,3,0.025391,203.3288817755592,11.11713539728828,0.14469919204039527,-10.106467235286424,10.251166427326819,35.7859,7.1749,30.8509,6.9005,26.1421,6.6387,21.0449,6.3553,0.1096,0.0117,0.0661,0.0078,0.0494,0.0076,0.0791,0.0116,15.880085,15.185579,14.86062,14.655614
143,4,0.022968,204.8841890871623,4.507998329909306,-0.8784140599408339,-9.017517535286418,8.139103475345584,26.4918,0.8464,25.6886,0.8735,24.9221,0.8993,24.0924,0.9272,0.0085,0.0006,0.0054,0.0004,0.0071,0.0005,0.0119,0.0009,18.592829,18.374266,18.304949,18.222769
143,2,0.022968,204.8738495829156,4.511382287086172,-0.5911340599408312,-9.928771035286415,9.337636975345584,14.1119,3.0987,15.1139,3.1823,16.0699,3.262,17.1048,3.3484,0.0421,0.0088,0.0267,0.0054,0.0417,0.0063,0.0713,0.0107,17.203037,16.647758,16.386448,16.24878
143,1,0.023086,204.8640211671729,4.510612238136396,0.3334369637277792,-9.592607235286419,9.926044199014198,7.0761,0.8908,7.1164,0.8758,7.1549,0.8614,7.1965,0.8459,0.0171,0.0058,0.0135,0.0035,0.0204,0.0053,0.0323,0.0092,15.61388,15.115775,14.849938,14.706629
143,3,0.022968,204.8797294793813,4.513227684715813,-0.5971740599408335,-9.041581335286416,8.444407275345583,5.9185,1.1886,6.1228,1.1951,6.3177,1.2014,6.5288,1.2082,0.0117,0.0054,0.0089,0.0036,0.0139,0.0048,0.0223,0.0078,18.164558,17.862276,17.774103,17.672684
144,2,0.119112,206.3739240823398,18.2224324421684,0.837490614900128,-10.788560935286414,11.626051550186542,1.3038,1.0293,0.8706,3.7069,0.0,0.0,nan,9.0274,0.0032,0.015,0.0023,0.087,0.0,0.0,nan,0.256,16.965303,16.034403,,15.316813
144,3,0.119112,206.3780771794783,18.23846231833816,1.286210614900126,-9.191014135286416,10.477224750186542,13.9409,0.8658,13.6524,1.0702,0.0,0.0,13.0791,1.4764,0.0124,0.0013,0.015,0.0018,0.0,0.0,0.0402,0.0055,17.21123,16.803167,,16.5177
144,4,0.081961,206.3909411105383,18.23071152115285,0.45587407819388837,-9.286985635286419,9.742859713480307,8.3432,1.2821,7.2807,1.755,0.0,0.0,5.1696,2.6948,0.0167,0.0052,0.0171,0.0094,0.0,0.0,0.0413,0.0283,18.247097,17.83043,,17.549314
146,2,0.087133,206.86315682915708,32.5054682977758,0.012384915291040244,-10.40754653528642,10.41993145057746,8.0995,0.7954,8.0531,0.9368,0.0,0.0,7.9609,1.2177,0.0092,0.002,0.0073,0.0015,0.0,0.0,0.0145,0.0035,18.664652,17.851494,-9999.0,17.24783
146,3,0.087133,206.8669190494493,32.52433053828361,0.8173449152910415,-9.495116535286417,10.312461450577459,8.9517,1.1105,8.6852,1.2088,0.0,0.0,8.1555,1.4041,0.0089,0.0019,0.0071,0.0015,0.0,0.0,0.0154,0.0038,17.205557,16.771849,-9999.0,16.417015
146,4,0.131022,206.8797662931948,32.50653603791652,1.0344680300488704,-9.985935735286413,11.020403765335283,13.9721,1.9142,13.298,2.4251,0.0,0.0,11.9586,3.4403,0.043,0.0077,0.0328,0.0066,0.0,0.0,0.0721,0.0173,17.351065,16.712643,-9999.0,16.188139
146,1,0.13067,206.8502546075268,32.53334980983207,0.8547313632829656,-10.048881235286414,10.90361259856938,6.503,1.5152,5.9965,1.6179,0.0,0.0,4.99,1.822,0.0211,0.0095,0.0153,0.0068,0.0,0.0,0.0192,0.0128,17.709991,17.032938,-9999.0,16.520596
147,1,0.062163,207.3243305899412,21.67886387440113,0.8789235119732108,-9.793222735286419,10.67214624725963,18.1521,0.9371,18.8194,1.2348,0.0,0.0,20.1452,1.8262,0.0113,0.001,0.0133,0.0011,0.0,0.0,0.0357,0.0031,16.122591,15.561726,,15.134231
147,2,0.062163,207.3302050149429,21.68317002740242,0.07724351197320978,-8.813976535286418,8.891220047259628,2.795,3.4592,2.8685,3.1126,0.0,0.0,3.0144,2.4238,0.0144,0.054,0.0119,0.0374,0.0,0.0,0.0308,0.0878,18.930445,18.66347,,18.540071
147,3,0.062163,207.3475476517366,21.69764285275039,0.09760351197320993,-9.83655553528642,9.93415904725963,17.3317,1.041,16.4243,1.1024,0.0,0.0,14.6215,1.2245,0.0382,0.0036,0.031,0.0031,0.0,0.0,0.0671,0.0079,18.034142,17.444006,,17.02157
148,1,0.083352,208.8225504975571,6.562008871012385,0.3819316311270029,-10.73454943528642,11.116481066413423,23.6686,1.2418,21.6783,1.3342,19.7793,1.4223,17.7236,1.5177,0.0392,0.0025,0.0255,0.0015,0.0266,0.0019,0.0419,0.0033,17.045952,16.19716,15.805425,15.549491
148,2,0.084285,208.8376413738763,6.556430103409631,0.9451201633834305,-9.912240135286417,10.857360298669848,7.4723,1.9387,7.2773,2.0309,7.0912,2.1189,6.8898,2.2141,0.0203,0.008,0.0131,0.0047,0.0151,0.0056,0.0246,0.0098,17.026424,16.325459,16.001835,15.781418
148,3,0.083352,208.8462058638437,6.548350787055839,0.2783316311270063,-9.604719635286417,9.883051266413423,11.7442,1.6764,11.597,2.0047,11.4566,2.318,11.3045,2.6571,0.016,0.0034,0.0101,0.002,0.0124,0.0026,0.0208,0.0046,18.556004,18.031704,17.788649,17.631733
148,4,0.083417,208.8599605956549,6.56629489961704,0.38552871482369255,-8.007129635286415,8.392658350110107,11.8172,1.0565,11.0061,1.2857,10.2321,1.5044,9.3943,1.7412,0.0339,0.0061,0.0211,0.0041,0.0297,0.0069,0.0507,0.0117,20.716553,20.420158,20.404648,20.362146
149,2,0.067956,210.4450919949291,-3.174171328079091,0.44807519643057425,-9.565079735286417,10.013154931716992,12.2701,0.5354,11.7738,0.6923,11.3001,0.842,10.7874,1.0041,0.0186,0.0024,0.0135,0.0016,0.0186,0.0026,0.0296,0.0045,18.417887,17.76629,17.45263,17.264313
149,1,0.067956,210.4362564194164,-3.156001730929726,0.45007519643057314,-10.579388535286418,11.02946373171699,16.2183,0.8112,15.9435,0.8915,15.6813,0.968,15.3975,1.0509,0.0371,0.0038,0.0277,0.0024,0.0425,0.0042,0.0687,0.0071,17.095783,16.250368,15.79291,15.499057
149,4,0.067788,210.466954744732,-3.205265815364832,0.13924522265017103,-10.070104635286414,10.209349857936585,27.7953,0.7855,25.5089,0.9659,23.3273,1.138,20.9657,1.3243,0.0214,0.0014,0.0143,0.0009,0.0145,0.0011,0.022,0.0017,17.929436,17.284933,16.987572,16.773167
151,2,0.088637,210.9746131166839,26.36004322520999,0.2926896781638373,-10.447137435286416,10.739827113450254,20.1963,0.6351,19.0219,0.7705,0.0,0.0,16.6882,1.0395,0.0217,0.0021,0.0156,0.0013,0.0,0.0,0.0339,0.004,17.684404,16.95822,,16.346735
151,1,0.088637,210.9720324163159,26.36683525719871,0.4365696781638331,-9.494689135286421,9.931258813450254,12.5291,2.9126,11.3264,3.2704,0.0,0.0,8.9366,3.9813,0.0362,0.0109,0.0231,0.0065,0.0,0.0,0.0485,0.0196,18.274843,17.80897,,17.457531
151,3,0.088637,210.9835914026334,26.37231145817395,0.3500496781638329,-10.528093635286417,10.87814331345025,6.2379,0.9757,5.8187,1.1422,0.0,0.0,4.9858,1.4729,0.012,0.0047,0.0107,0.0049,0.0,0.0,0.0238,0.0135,17.452557,16.689352,,16.073454
152,1,0.061681,211.1789376181356,24.18595482555581,-0.29007760676443795,-8.779086935286415,8.489009328521977,12.7522,1.6562,12.1248,1.9251,0.0,0.0,10.8782,2.4595,0.0277,0.0059,0.0232,0.0055,0.0,0.0,0.0551,0.0148,20.23016,19.904503,,19.726662
152,2,0.061681,211.1886959504434,24.19283421747403,0.17108239323555807,-9.91193693528642,10.083019328521978,8.7069,1.8665,9.0386,2.4092,0.0,0.0,9.6976,3.4876,0.0113,0.0041,0.0106,0.0037,0.0,0.0,0.0281,0.01,17.725086,17.135136,,16.683424
152,4,0.061681,211.2175401345374,24.17235869590111,-0.062117606764442,-9.31484723528642,9.252729628521978,12284.189,nan,11096.3611,nan,0.0,0.0,8736.1528,nan,2055.5018,nan,1559.9009,nan,0.0,0.0,1937.4098,nan,18.890816,18.444096,,18.180061
154,3,0.037372,212.8613899081116,-29.67362339446398,0.39247226143349145,-10.619724935286417,11.012197196719908,20.1399,1.6663,20.8407,2.2016,21.5093,2.7123,22.233,3.2652,0.0735,0.0063,0.0316,0.0025,0.0538,0.0041,0.108,0.0086,16.3947,15.341924,14.899883,14.596462
154,4,0.037372,212.8613665823259,-29.63580712305456,0.5208722614334906,-9.827403135286419,10.34827539671991,6.5798,0.6195,6.6801,0.6424,6.7758,0.6642,6.8795,0.6879,0.0211,0.0068,0.0095,0.0024,0.0167,0.0045,0.0325,0.0097,15.99278,15.384839,15.130793,14.94426
155,1,0.05979,213.2155820397195,23.33220155204234,0.231116687922567,-9.456369835286418,9.687486523208985,4.2899,0.9843,4.3174,1.0135,0.0,0.0,4.3722,1.0713,0.006,0.0073,0.0056,0.0063,0.0,0.0,0.0134,0.0159,17.798344,17.357788,,17.065031
155,4,0.05979,213.2378299669402,23.31804334397334,0.19411668792256798,-9.89223273528642,10.086349423208988,3.0806,2.6303,3.3407,2.8249,0.0,0.0,3.8575,3.2117,0.0243,0.0772,0.033,0.0806,0.0,0.0,0.0965,0.23,17.899248,17.245434,,16.76664
155,2,0.059665,213.2258035175576,23.3377822835228,0.18401887100230319,-7.752226035286421,7.936244906288724,21.9795,1.0247,21.863,1.2175,0.0,0.0,21.6315,1.6005,0.047,0.0038,0.0448,0.0037,0.0,0.0,0.1141,0.0099,20.988111,20.644598,,20.685268
155,3,0.05979,213.2293041745812,23.33653703430425,-0.23516331207743058,-8.344193035286414,8.109029723208984,7.7469,1.2775,7.3299,1.2979,0.0,0.0,6.5013,1.3384,0.0144,0.0047,0.01,0.0032,0.0,0.0,0.0181,0.007,20.813435,20.41628,,20.418686
157,3,0.029579,215.5025057406916,28.863960761391,-0.28885344415468417,-9.37306523528642,9.084211791131736,38.6656,1.1438,39.5695,1.4042,0.0,0.0,41.3657,1.9216,0.1088,0.0039,0.1229,0.0043,0.0,0.0,0.34,0.0124,17.7046,17.31095,,16.998089
157,1,0.029579,215.4999678224083,28.86918226815317,-0.1786134441546796,-9.860604735286417,9.681991291131737,33.9885,0.5933,33.3049,0.7854,0.0,0.0,31.9467,1.1672,0.0455,0.0026,0.0534,0.0029,0.0,0.0,0.1446,0.0088,16.797356,16.256031,,15.877316
157,4,0.0354,215.5173209036256,28.86660178776914,-0.2541738948661578,-8.66098863528642,8.406814740420263,3.016,1.4094,3.1694,1.5521,0.0,0.0,3.4741,1.8356,0.007,0.0158,0.0071,0.015,0.0,0.0,0.0204,0.0394,18.577625,18.397568,,18.31132
158,4,0.058862,216.5532729623645,29.69492654057706,0.6998896098342993,-10.198703135286419,10.898592745120718,21.881,0.9217,22.1395,1.4243,0.0,0.0,22.6532,2.423,0.0152,0.0012,0.0193,0.0016,0.0,0.0,0.0534,0.0048,16.268776,15.576076,,14.978312
158,1,0.059246,216.5356359016363,29.72669130498612,0.36053764954970013,-9.69108093528642,10.05161858483612,15.5424,1.3008,15.9139,1.3041,0.0,0.0,16.6519,1.3106,0.0299,0.0032,0.0251,0.0024,0.0,0.0,0.0617,0.0056,17.093878,16.605484,,16.278488
158,3,0.08677,216.5487054032538,29.71449333721601,0.3885587759858833,-9.802153235286415,10.190712011272298,21.0914,0.9711,21.0699,1.0706,0.0,0.0,21.0271,1.2683,0.0796,0.0052,0.0713,0.0044,0.0,0.0,0.1617,0.0109,18.126823,17.546955,,17.11066
158,2,0.05853,216.5451448858078,29.74552186279333,0.17153662931062996,-9.568585435286412,9.740122064597042,16.0137,0.8479,16.0509,0.9501,0.0,0.0,16.1247,1.153,0.081,0.0068,0.0639,0.0049,0.0,0.0,0.1368,0.012,18.091404,17.538813,,17.186855
159,2,0.055027,219.221051338999,12.13901051400059,0.08405125366221178,-10.266721235286418,10.35077248894863,16.9631,1.5653,17.0516,1.6248,17.1361,1.6816,17.2276,1.743,0.0442,0.005,0.0262,0.0028,0.0374,0.0038,0.0654,0.0069,17.093157,16.431631,16.152918,15.947738
159,4,0.188742,219.2652855248565,12.17632928967613,1.190676686537845,-9.493697935286418,10.684374621824263,25.8339,0.8907,25.8049,1.2764,25.7772,1.6445,25.7472,2.0429,0.0188,0.0013,0.0134,0.0009,0.0206,0.0015,0.0338,0.0025,18.521347,17.962292,17.397196,17.526571
159,1,0.054808,219.2209261720926,12.16126139104753,0.2507874901049245,-10.911611835286417,11.162399325391341,1.1865,nan,1.9294,nan,2.6382,nan,3.4055,nan,0.0254,nan,0.029,nan,0.0563,nan,0.0896,nan,15.96716,15.123908,14.740548,14.490203
160,1,0.030605,219.6912603223076,9.04091980277455,-0.635635651247318,-9.692530635286419,9.0568949840391,6.3725,1.9063,6.0887,1.8237,5.8179,1.7448,5.5247,1.6594,0.0078,0.0042,0.0053,0.0026,0.0055,0.0025,0.0083,0.0041,18.097357,17.592098,17.45254,17.299784
160,2,0.030605,219.6972295133376,9.03095727003908,-0.16623565124731776,-7.07247683528642,6.906241184039102,5.8455,4.0641,6.6603,3.9393,7.4377,3.8201,8.2793,3.6912,0.0386,0.0308,0.0303,0.0202,0.0499,0.0223,0.0808,0.0355,21.012802,21.03594,20.99141,21.110207
160,3,0.030822,219.7153122101575,9.046957064626492,-0.03381878670177052,-9.796298735286419,9.762479948584648,5.5472,nan,3.7181,nan,1.9728,nan,nan,9.006,0.026,nan,0.0173,nan,0.0092,nan,nan,0.2409,17.088682,16.476282,16.225378,16.022038
160,4,0.086179,219.7307285148444,9.055148947980484,0.9740224817519323,-9.188284435286416,10.162306917038348,10.9904,0.8044,10.9386,0.8917,10.8892,0.9749,10.8357,1.065,0.0097,0.0018,0.0075,0.001,0.0112,0.0017,0.0178,0.003,17.111969,16.736044,16.541983,16.48527
162,1,0.070224,222.6836429206116,21.75444834306291,0.07819070808406359,-9.458355335286415,9.536546043370478,244.0008,9.9548,264.1949,nan,0.0,0.0,304.3206,nan,4.35,0.0482,3.3845,nan,0.0,0.0,8.3618,nan,18.551702,18.115387,,17.808672
162,4,0.070224,222.7341134985892,21.73695668393236,0.4439507080840652,-10.658702435286417,11.102653143370482,13.151,0.7852,12.9758,0.8702,0.0,0.0,12.6278,1.039,0.0648,0.007,0.0641,0.0073,0.0,0.0,0.1603,0.0206,16.57819,15.777755,,15.129067
162,2,0.070224,222.698087709932,21.75550980625253,0.0893907080840659,-9.023295735286416,9.112686443370482,2.4171,2.8208,2.683,2.6648,0.0,0.0,3.2112,2.3548,0.0071,0.0262,0.0065,0.0177,0.0,0.0,0.0163,0.0388,18.996748,18.681986,,18.47721
164,1,0.07397,226.257393613647,8.709469189893905,0.9896508184860853,-9.684786135286418,10.674436953772503,14.6275,1.3321,14.487,1.4363,14.353,1.5358,14.2079,1.6434,0.0111,0.0015,0.0072,0.001,0.0095,0.0013,0.0157,0.0021,16.4735,15.923661,15.647909,15.49277
164,2,0.07397,226.2709126721782,8.731861193811778,0.03465081848608342,-10.401021835286416,10.4356726537725,16.1659,1.692,14.7061,2.4875,13.3132,3.2466,11.8054,4.0682,0.0733,0.0142,0.0485,0.0111,0.0598,0.0192,0.0972,0.0315,18.570137,17.730894,17.304293,17.044052
164,4,0.07397,226.2860016960066,8.741545801688666,0.4218908184860819,-8.86144643528642,9.283337253772501,7.1944,1.285,6.9613,1.4255,6.7388,1.5595,6.498,1.7046,0.009,0.0039,0.0061,0.0027,0.007,0.0035,0.011,0.0055,18.60021,18.303843,18.139368,18.110767
164,3,0.073949,226.2740593596376,8.71686874945827,0.23512419204373636,-10.06939643528642,10.304520627330156,8.3617,0.3971,8.3642,0.4699,8.3665,0.5392,8.3691,0.6144,0.0138,0.0039,0.0113,0.0026,0.0153,0.0042,0.023,0.0071,17.771358,17.135292,16.852222,16.654743
