brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,index
381253,1606p087,572,SER,160.5538677091916,8.688548916101903,0.02569705,73.46463,129.6535,171.92816,204.3797,1.523609,1.4363204,1.4924071,1.3103021,1.3498274,62436.023,4.396015,158461.27,0.35583332,2152631.0,-0.22498721,1329656.4,17.834805,17.218039,16.911633,16.723906,17.224,17.84697,17.111317,15.647256,0.616766,0.30640602,0.494133,0.18772697,1804
336202,0186p010,9148,SER,18.71891546764137,0.9551509725230992,0.031390615,55.770508,86.70682,105.42781,118.79985,1.6178218,1.3201723,1.0822597,0.9934424,1.3220272,104967.07,6.542361,44110.156,-0.4158009,2418012.5,-0.1364251,1304070.1,18.13399,17.654867,17.442612,17.31296,17.994448,18.600742,,17.979967,0.47912216,0.21225548,0.3419075,0.12965202,1854
324656,0121m010,5470,SER,12.13352151590886,-1.10333858911786,0.02798927,128.0093,213.48206,271.29504,307.57028,1.3905652,1.1744231,1.1852268,1.148685,0.9675018,567125.8,7.236329,189173.56,0.48799592,2.0198754E7,-0.29931286,9961817.0,17.231895,16.676596,16.416395,16.28014,16.747478,17.350954,15.66587,16.53747,0.55529976,0.2602005,0.39645576,0.13625526,1839
358566,2137p047,2321,SER,213.6742964535463,4.750948648407309,0.026648482,135.32834,211.03699,260.81067,284.29672,1.3510712,1.2944539,1.0983624,1.0855626,0.7938664,634795.44,3.169917,724648.9,0.40005818,1.3994023E7,0.26428404,1.0898316E7,17.171528,16.689104,16.459187,16.36557,16.883158,17.41562,16.084679,14.861983,0.48242378,0.22991753,0.323534,0.093616486,1832
336940,2031p010,5656,PSF,203.2247922979547,0.9066481600181228,0.026923234,0.582962,1.9950477,2.2457414,3.5994842,1.6960256,1.3505309,1.1900411,1.2449188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0859,21.750116,21.621601,21.1094,19.910622,21.320625,,14.323277,1.335783,0.12851524,0.64071655,0.5122013,1736
327575,0218m005,2507,SER,21.81235809636697,-0.5774578987703661,0.027342234,84.722595,141.772,179.33063,202.09317,1.6576682,1.2448848,1.2445878,1.3504525,0.960152,465063.1,4.8490124,482773.78,-0.3587183,9918111.0,-0.2789828,8156588.5,17.680002,17.121023,16.865864,16.73612,17.38582,18.084686,17.905252,15.9786,0.55897903,0.25515938,0.38490295,0.12974358,1786
352583,1550p037,341,SER,154.9760140683667,3.694000856624103,0.031823017,105.08662,157.7781,186.56079,209.38686,1.37455,1.5175872,1.3897486,1.2606906,1.1226394,176475.52,3.3007174,217015.45,0.08972329,3177765.2,-0.06932348,2467353.5,17.44613,17.004883,16.822948,16.697626,17.285875,17.685808,14.701404,11.40855,0.44124794,0.18193436,0.3072567,0.12532234,1710
399765,1811p120,247,SER,181.0290645421132,12.06749527574687,0.029043397,131.67813,194.49263,221.70149,250.48828,1.4799372,1.2745506,1.1742058,1.0855078,1.4999689,255183.81,5.26632,221232.66,-0.012467392,1384315.8,-0.21454132,1556703.1,17.201216,16.777742,16.635578,16.50303,17.255707,17.852413,16.683985,,0.42347336,0.14216423,0.2747116,0.13254738,1772
332665,2143p002,10953,SER,214.4909820684755,0.3387561021988272,0.038561508,207.43083,307.27768,359.7144,402.71304,1.4401553,1.2938511,0.9956218,1.1870077,2.373798,366746.4,7.1521406,2289584.0,0.088307075,1.33916E7,0.0098495,6563098.0,16.707817,16.281172,16.110106,15.987511,17.613518,18.840462,,,0.42664528,0.17106628,0.29366112,0.12259483,1782
338416,2121p012,2296,SER,212.048711990727,1.263167069121433,0.03668136,56.854618,82.63119,97.48521,107.55011,1.4492029,1.3033124,1.0425917,1.1765746,0.7698238,251797.25,1.6707141,2784571.2,0.045482446,6100611.5,-0.46594214,7436802.5,18.113085,17.70714,17.527653,17.420973,17.55411,17.925108,15.560621,15.34597,0.40594482,0.17948723,0.28616714,0.10667992,1748
353995,1485p040,5811,SER,148.5468184831674,3.924016407288753,0.03854211,146.4105,233.19667,288.0617,313.7722,1.1088923,1.3893352,1.0879284,1.4734327,2.1418672,705223.6,2.2987893,3288737.0,-0.13456897,2.8726142E7,0.24583906,3.6689416E7,17.08607,16.580694,16.351286,16.258465,16.730242,17.288765,15.917038,13.932209,0.5053749,0.22940826,0.3222294,0.09282112,1725
275815,3471m097,1251,SER,347.1278447072992,-9.715821595291729,0.038747426,5.6324577,9.613435,11.650482,11.929585,1.3845834,1.3478793,1.3836864,1.6927731,0.5,204.17747,0.36773524,26748.734,-0.010996569,701.9012,-0.80899537,33.189453,20.623255,20.042803,19.83414,19.808437,19.218023,20.06344,,,0.58045197,0.20866203,0.23436546,0.02570343,1759
