brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,index,Radii
327588,0251m005,4933,SER,25.0602805072117,-0.5151393836078085,0.037955284,812.0402,1394.656,1829.5443,2151.3433,1.4002147,1.1921339,1.0693597,1.305946,0.7341925,5.54436E7,7.2177944,2.1180206E7,0.0896878,5.4761286E8,-0.36691773,9.445719E8,15.226056,14.638832,14.344143,14.168225,14.439621,14.939995,13.021071,12.217367,0.587224,0.29468918,0.4706068,0.17591763,1274,5
330515,0368p000,4811,SER,36.80323897195959,-0.0501239337545876,0.030394068,78.05302,106.15781,111.89858,124.34266,1.3353636,1.2043236,1.1362722,1.1367062,1.712804,1175797.5,4.617326,1027239.3,-0.093286276,1.1209271E7,-0.32264668,2.156345E7,17.769026,17.43512,17.37794,17.263449,18.048128,18.517166,,,0.33390617,0.057180405,0.17167091,0.11449051,1275,5
371201,1463p070,4705,PSF,146.416920244141,7.01265220575953,0.021444244,3.2387314,2.4135995,1.7556417,2.0986357,1.9808725,1.2802075,1.6270269,1.407884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.224062,21.543337,21.88891,21.695158,22.196026,22.247898,,16.69323,-0.3192749,-0.34557343,-0.15182114,0.19375229,1255,5
319602,1886m020,4514,SER,188.6511711543872,-2.122631427880454,0.033600047,71.168274,75.95892,68.37269,79.65305,1.6921791,1.1204144,1.2946423,1.4374906,1.9810957,11104.519,1.5472707,458994.75,0.1626888,1305365.5,-0.022143956,778668.7,17.869284,17.798553,17.912794,17.746994,19.220526,19.495068,15.986006,15.482107,0.07073021,-0.11424065,0.05155945,0.1658001,1232,5
378459,1750p082,444,SER,174.969440614787,8.325462722316024,0.032603923,65.74761,84.61896,86.64579,99.27004,1.3517674,1.2658354,1.090126,1.4819891,1.9528546,10756.126,1.6616695,132958.66,-0.06579727,383326.7,0.27718815,635333.56,17.9553,17.681332,17.655632,17.507954,18.733221,18.790169,17.214823,13.982538,0.27396774,0.025699615,0.17337799,0.14767838,1267,5
378269,1271p082,689,SER,127.0056135643304,8.214031941694964,0.032100007,82.282486,150.39366,208.25372,257.06186,1.1639503,1.1113857,1.5980399,1.0855839,0.933062,174146.03,4.9346557,651751.06,0.5791238,8323015.5,0.12750995,4344740.0,17.711731,17.056927,16.703518,16.474905,16.64381,17.120039,15.285578,16.862001,0.6548042,0.3534088,0.5820217,0.2286129,1277,5
326112,0161m007,3036,PSF,16.06076144234159,-0.8444607608959734,0.030392306,1.9854016,1.7046888,0.96400285,1.2429231,1.4301603,1.1822152,1.1460273,1.0783069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.755379,21.920887,22.539804,22.26389,21.508112,21.167366,,14.772283,-0.16550827,-0.61891747,-0.34300232,0.27591515,1273,5
312335,1716m032,3804,SER,171.6317656906064,-3.271055836269354,0.084552966,50.09931,89.5733,116.0166,134.27695,1.3074222,1.4973022,1.2533718,1.1229081,1.0735636,85456.45,4.573085,48812.836,0.27490172,1781256.5,-0.014768743,675417.94,18.250422,17.619553,17.3387,17.179996,17.44836,17.8166,15.664351,11.957007,0.6308689,0.28085327,0.43955612,0.15870285,1230,5
416631,1933p150,4266,SER,193.4099186748915,14.93096084561522,0.019572234,60.75305,101.64766,124.30343,139.62724,1.2077996,1.0267828,1.3686005,1.4554291,1.151262,37895.246,2.66357,75414.36,-0.18778202,849676.7,-0.06223343,446443.78,18.04108,17.482256,17.263792,17.137575,17.420597,18.32798,16.21016,,0.55882454,0.2184639,0.3446808,0.12621689,1268,5
379760,1435p085,435,SER,143.4073790862815,8.463835648841448,0.0445823,99.658936,144.90512,164.03923,181.18095,1.3971089,1.3042965,1.3143378,1.2304697,1.542861,84631.03,4.2671165,81169.72,-0.10901429,1504470.2,0.1473937,1985396.5,17.50371,17.09729,16.962631,16.85472,17.548775,18.25298,18.107594,14.203129,0.40641975,0.13465881,0.24257088,0.10791206,1260,5
331732,3411p000,2898,SER,341.0666988432588,0.0053007597024526,0.06513121,178.68622,319.663,405.99835,483.33176,1.4312674,1.1776613,1.0938079,1.1127883,1.0722313,547812.56,8.689474,62274.594,-0.12467387,6808837.5,0.055275436,3697834.2,16.869772,16.23827,15.978689,15.789387,16.447182,16.870455,15.598101,,0.63150215,0.2595806,0.44888306,0.18930244,1270,5
331833,0063p002,2085,SER,6.280935528671068,0.3126489738616716,0.024069004,121.98359,145.38577,132.511,143.84285,1.2545075,1.244425,1.1133637,1.0533317,3.077711,101493.47,4.535285,249098.45,0.13804536,9247094.0,-0.020599402,4975921.5,17.284246,17.093695,17.19437,17.10528,17.95844,18.750658,16.672604,15.365952,0.19055176,-0.10067558,-0.011585236,0.08909035,1252,5
