Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
191,4,3045,322.3234749744349,-31.03881110377744,SER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,3,118,334.5284356228768,-25.68926201045797,PSF,0.440347511696941,510.0775,0.0009,641.3314,0.0003,70.5845,0.0496,15.3616,0.0011,1.1119,0.0014,0.7201,0.0003,50.3887,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0775,0.0009,641.3314,0.0003,80.5692,0.0218,14.9240,0.0003,1.4792,0.0010,0.7201,0.0003,50.3887,0.0161,510.0775,0.0009,641.3314,0.0003,85.8465,0.0451,14.7222,0.0008,1.6733,0.0009,0.7201,0.0003,50.3887,0.0161
198,2,3519,334.5085148887451,-25.69175273265285,SER,0.440347511696941,761.5966,0.0006,606.5034,0.0010,*9.968e-03*,*3.078e+01*,21.8955,0.8854,0.1008,2.4737,0.5008,0.0025,87.6715,0.2607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.5966,0.0006,606.5034,0.0010,14.1443,0.0849,17.3801,0.1992,1.2763,0.0135,0.5008,0.0025,87.6715,0.2607,761.5966,0.0006,606.5034,0.0010,21.6150,16.2687,15.7436,0.2394,1.8977,1.3079,0.5008,0.0025,87.6715,0.2607
198,1,3267,334.4881763011416,-25.69512825316072,PSF,0.440347511696941,1005.7082,0.0151,557.0876,0.0107,6.7974,587.6398,25.4682,13982.7524,2.5662,139.9980,0.6190,0.0025,63.3325,0.2912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.7082,0.0151,557.0876,0.0107,8.0964,0.0330,17.3669,1.3479,0.9547,0.0100,0.6190,0.0025,63.3325,0.2912,1005.7082,0.0151,557.0876,0.0107,8.7830,310.5949,15.2713,241.6020,0.1029,73.9954,0.6190,0.0025,63.3325,0.2912
198,4,211,334.5342549875871,-25.66724743330755,SER,0.440347511696941,448.7686,0.0096,944.9012,0.0074,4.1758,0.0450,18.6818,0.0057,3.3056,0.0645,0.4400,0.0038,-79.9983,0.2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.7686,0.0096,944.9012,0.0074,7.0045,0.1354,18.1148,0.0095,3.9984,0.0671,0.4400,0.0038,-79.9983,0.2762,448.7686,0.0096,944.9012,0.0074,8.4996,0.2063,17.7992,0.0120,4.3646,0.0935,0.4400,0.0038,-79.9983,0.2762
230,3,5015,27.48574877761106,-27.8187794532997,SER,1.3413353490337,640.0120,0.0017,680.0001,0.0009,24.6328,0.0065,15.1624,0.0002,0.9885,0.0006,0.4839,0.0001,-63.1734,0.0066,640.0120,0.0017,680.0001,0.0009,24.1193,0.0046,14.4710,0.0001,1.2273,0.0004,0.4839,0.0001,-63.1734,0.0066,640.0120,0.0017,680.0001,0.0009,23.6294,0.0056,14.1681,0.0002,1.4552,0.0005,0.4839,0.0001,-63.1734,0.0066,640.0120,0.0017,680.0001,0.0009,23.0990,0.0088,13.9075,0.0003,1.7018,0.0008,0.4839,0.0001,-63.1734,0.0066
230,4,5257,27.4914190220405,-27.81209212365086,SER,1.3413353490337,570.5805,0.0027,771.8054,0.0039,18.8850,0.0112,16.3359,0.0006,0.6959,0.0010,0.6697,0.0002,-24.1292,0.0379,570.5805,0.0027,771.8054,0.0039,18.5512,0.0066,15.7151,0.0004,0.9306,0.0006,0.6697,0.0002,-24.1292,0.0379,570.5805,0.0027,771.8054,0.0039,18.2328,0.0098,15.4047,0.0005,1.1544,0.0009,0.6697,0.0002,-24.1292,0.0379,570.5805,0.0027,771.8054,0.0039,17.8880,0.0172,15.2261,0.0008,1.3968,0.0017,0.6697,0.0002,-24.1292,0.0379
230,5,5644,27.50007935114963,-27.81807803003387,SER,1.3413353490337,465.8698,0.0089,689.5929,0.0111,11.6974,0.0356,18.3910,0.0028,0.8657,0.0051,0.7610,0.0012,4.9182,0.2799,465.8698,0.0089,689.5929,0.0111,11.1970,0.0264,18.0576,0.0022,1.1557,0.0040,0.7610,0.0012,4.9182,0.2799,465.8698,0.0089,689.5929,0.0111,10.7195,0.0441,17.8944,0.0035,1.4323,0.0076,0.7610,0.0012,4.9182,0.2799,465.8698,0.0089,689.5929,0.0111,10.2026,0.0726,17.8577,0.0059,1.7318,0.0125,0.7610,0.0012,4.9182,0.2799
230,2,4219,27.46902204298467,-27.82031360324704,REX,1.3413353490337,843.2964,0.0046,658.9897,0.0040,*0.2460*,*0.0104*,19.0741,0.0088,*10.1714*,*0.5579*,0.5826,0.0063,34.4201,0.5245,843.2964,0.0046,658.9897,0.0040,0.8522,0.0111,18.7059,0.0070,*10.6087*,*0.3182*,0.5826,0.0063,34.4201,0.5245,843.2964,0.0046,658.9897,0.0040,1.4306,0.0192,18.5014,0.0038,*11.0259*,*0.2389*,0.5826,0.0063,34.4201,0.5245,843.2964,0.0046,658.9897,0.0040,2.0567,0.0298,18.0947,0.0098,*11.4776*,*0.4257*,0.5826,0.0063,34.4201,0.5245
230,1,3942,27.46342358877521,-27.82211553235923,EXP,1.3413353490337,902.0747,0.0093,637.4759,0.0067,8.8767,0.0234,18.8024,0.0025,0.6261,0.0057,0.5092,0.0010,54.4360,0.1221,902.0747,0.0093,637.4759,0.0067,8.7764,0.0181,18.4468,0.0021,0.8663,0.0034,0.5092,0.0010,54.4360,0.1221,902.0747,0.0093,637.4759,0.0067,8.6807,0.0295,18.2462,0.0032,1.0955,0.0067,0.5092,0.0010,54.4360,0.1221,902.0747,0.0093,637.4759,0.0067,8.5772,0.0479,18.2002,0.0047,1.3436,0.0118,0.5092,0.0010,54.4360,0.1221
